reference,terminal,function,net,state,warning
SRC1,FIELD,SR1:S12; S0:R-2; S1:TBD-R1,ETD_1_EXISTING,EXISTING P1.15 LOGICAL NODE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD1,NODE,SR1_S12,ETD_1_EXISTING,PERMANENT PASSIVE TAP NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC2,FIELD,SR1:S34; S1:TBD-R2,ETD_2_EXISTING,EXISTING P1.15 LOGICAL NODE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD2,NODE,SR1_START_RETURN,ETD_2_EXISTING,PERMANENT PASSIVE TAP NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC3,FIELD,S2:TBD-A2; K1:21,ETD_3_EXISTING,EXISTING P1.15 LOGICAL NODE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD3,NODE,ARM_AFTER_S2,ETD_3_EXISTING,PERMANENT PASSIVE TAP NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC4,FIELD,FSR1:2; K1:A1; return K1:A2/SAFETY_0V,ETD_4_EXISTING,EXISTING P1.15 LOGICAL NODE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD4,NODE,K1_A1,ETD_4_EXISTING,DIVIDER DESIGN HELD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC5,FIELD,FSR2:2; K2:A1; return K2:A2/SAFETY_0V,ETD_5_EXISTING,EXISTING P1.15 LOGICAL NODE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD5,NODE,K2_A1,ETD_5_EXISTING,DIVIDER DESIGN HELD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC6,FIELD,K1:22; K2:21,ETD_6_EXISTING,EXISTING P1.15 LOGICAL NODE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD6,NODE,EDM_K1_OUT,ETD_6_EXISTING,PERMANENT PASSIVE TAP NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC7,FIELD,K2:22; SRA1:S34,ETD_7_EXISTING,EXISTING P1.15 LOGICAL NODE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD7,NODE,SRA1_START_RETURN,ETD_7_EXISTING,PERMANENT PASSIVE TAP NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
