adapter_connector,contact,official_function,adapter_net,destination,disposition,warning
J1,1,RESERVED - DO NOT CONNECT,NO CONNECT,NONE,EXPLICIT NO CONNECT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,2,RESERVED - DO NOT CONNECT,NO CONNECT,NONE,EXPLICIT NO CONNECT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,3,T_VCC / target reference sense,CTRL_3V3,J2.2,CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,4,T_SWDIO,SWDIO,J2.3,CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,5,GND,CTRL_GND,J2.1,CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,6,T_SWCLK,SWCLK,J2.4,CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,7,GND,CTRL_GND,J2.1,CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,8,T_SWO - not used P0.1,NO CONNECT,NONE,EXPLICIT NO CONNECT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,9,RESERVED - DO NOT CONNECT,NO CONNECT,NONE,EXPLICIT NO CONNECT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,10,T_JTDI / NC for SWD,NO CONNECT,NONE,EXPLICIT NO CONNECT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,11,GNDDETECT - target ground,CTRL_GND,J2.1,CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,12,T_NRST,MCU_NRST,J2.5,CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,13,T_VCP_RX - not used P0.1,NO CONNECT,NONE,EXPLICIT NO CONNECT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
J1,14,T_VCP_TX - not used P0.1,NO CONNECT,NONE,EXPLICIT NO CONNECT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
