step_id,operation,controlled_requirement,numeric_acceptance,state,evidence_uri,warning
CHP-001,route survey,"measure installed path with carrier, DXL-star, fuse holder, service loop, bend radius, tie-down and guard installed",SELECTION REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-002,wire receipt,"verify MPN, color, 18 AWG 16x30 construction and nominal OD against manufacturer record",received lot evidence required,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-003,strip,use contact-specific controlled strip length; no nicked/cut strands or insulation damage,SELECTION REQUIRED - JST application specification/provider instruction needed,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-004,crimp,use validated SVH-21T-P1.1 process; no generic plier or unverified hand tool,crimp height/width and insulation support SELECTION REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-005,crimp inspection,"record conductor brush, bellmouth, cutoff tab, wire barrel, insulation support and contact damage photos",SELECTION REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-006,pull test,test process coupons separately; do not damage production articles,SELECTION REQUIRED - wire/contact/process standard and sampling plan,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-007,housing insertion,insert positive into cavity 1 and return into cavity 2; verify lance engagement and secure lock,full seating and retention; quantitative retention SELECTION REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-008,continuity/polarity,100 percent pin-by-pin test before mating to any board; independent second-person polarity check,meter/isolation thresholds SELECTION REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-009,retention and route,no connector carries cable weight; strain relief and bend/service loop survive guarded handling,SELECTION REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHP-010,limited-energy thermal qualification,"measure both contacts and conductors at accepted duty, ambient and bundling after protection/source coordination",SELECTION REQUIRED; no powered execution authorized,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
