question_id,question,response,exception_or_substitution,provider,responder,response_date,internal_disposition,transmission_authorized,warning
RFQ-Q01,Bind the quotation and every DFM response to all fifteen exact file hashes and five drawing numbers.,NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q02,"Confirm the exact alloy/temper/specification, stock condition, finished-thickness range, heat-lot traceability and MTR availability.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q03,Confirm whether the five parts can be completed in-house under one controlled process route; identify every subcontracted operation.,NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q04,"List any portal healing, automatic fillet/radius, tolerance, datum, finish or material default before quotation.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q05,"Confirm all through-hole, countersink, profile, rail, recess, flatness, parallelism and edge-break controls are measurable as written.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q06,Propose a formal datum reference frame and feature-control-frame scheme without changing nominal geometry or current functional intent.,NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q07,"State CMM/optical/pin-gauge capability, measurement uncertainty and calibration traceability for every proposed FAI characteristic.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q08,"For MV0-C04, confirm the asymmetric H104 pattern will not be shifted, slotted or best-fit altered.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q09,"For MV0-C05, describe the workholding and datum-transfer method between the S102 and column interfaces.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-Q10,"For MV0-C06, describe how both striker rails and their relative height/location will be measured and reported.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
