hold_id,topic,closure_evidence,warning
NCH-001,AS-BUILT CONDUCTOR IDENTITY,"Received terminal identities, from/to schedule, wire part, gauge, insulation OD, length and photographs must bind each W-number to one physical conductor","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-002,JAW FIT AND ROUTING,"A 5 mm-jaw clearance study must prove one-conductor capture without pinching, moving, opening or magnetically coupling adjacent conductors","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-003,HOST SELECTION,"Exact compatible TekVPI oscilloscope model/options, channel count, sample rate, record length, trigger and export path are required","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-004,CALIBRATION,"Current probe and host require in-date traceable calibration, degauss/zero records and an end-to-end injected-current check","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-005,POLARITY AND THRESHOLDS,"Every conductor direction, current sign, pulse/steady threshold, hysteresis, dwell and invalid-data rule remains SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-006,NONINTERFERENCE,"Repeated jaw-open versus jaw-closed disconnected-load E2 sequences must show no state, timing, reset, EDM or dropout change within accepted limits","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-007,SIMULTANEITY,Probe quantity and shared-timebase allocation must cover each claimed causal timing measurement; sequential runs cannot prove simultaneity,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-008,MOTION WITNESS,An independent calibrated angle/displacement channel must prove stopping and no reset/ARM-commanded motion,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-009,SOURCE WITNESS,An accepted isolated control-rail voltage channel must separate command-state changes from source collapse or brownout,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-010,E2 BOUNDARY,"Actuator source absent; K1/K2 load poles unsourced and unwired; guarded access, qualified authorization and abort conditions required","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-011,UNCERTAINTY,"Probe accuracy/delay, host timing, thresholds, motion witness, source witness, alignment and repeatability must close the R174 budget","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NCH-012,QUALIFIED REVIEW,"Qualified electrical and functional-safety reviewers must accept the exact setup, failure analysis, results and limitations","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
