signal_id,node_or_event,measurement,acceptance_boundary,method,warning
SIG-001,SAFETY_24V at source,voltage and current,SELECTION REQUIRED,calibrated isolated voltage probe and current measurement,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-002,SRA1_A1_WD_GATED at SRA1:A1,voltage,SELECTION REQUIRED,calibrated isolated voltage probe,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-003,SRA1:A2 / SAFETY_0V,voltage and continuity,SELECTION REQUIRED,calibrated isolated voltage probe,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-004,SRA1:S12,voltage/state,SELECTION REQUIRED,calibrated isolated voltage probe,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-005,SRA1:S22,voltage/state,SELECTION REQUIRED,calibrated isolated voltage probe,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-006,SRA1:S34 monitored-start return,voltage/state,SELECTION REQUIRED,calibrated isolated voltage probe,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-007,SRA1:13-14,contact state,MUST REMAIN OPEN unless a valid fresh ARM is applied,approved low-energy isolated continuity channel,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-008,SRA1:23-24,contact state,MUST REMAIN OPEN unless a valid fresh ARM is applied,approved low-energy isolated continuity channel,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-009,SRA1:33-34,contact state,MUST REMAIN OPEN unless a valid fresh ARM is applied,approved low-energy isolated continuity channel,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-010,KWD1:11-14,contact state and voltage,SELECTION REQUIRED,approved isolated state channel,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-011,KWD2:11-14,contact state and voltage,SELECTION REQUIRED,approved isolated state channel,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-012,PI_HEARTBEAT stimulus,edge timestamps and logic level,SELECTION REQUIRED,isolated pattern source/logger,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-013,S2 ARM stimulus,make/break timestamps,falling edge must be separately identifiable,approved dry-contact fixture and logger,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-014,S0 E-stop channels,both channel states and timestamps,both channels recorded independently,approved dual dry-contact fixture and logger,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SIG-015,EDM simulator,K1/K2 mirror-state simulation,must be configuration controlled,approved dry-contact fixture and logger,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
