record_id,article_role,supplier_order_code,manufacturer,lot_or_heat,coc_uri,screw_length_mm,head_diameter_mm,socket_go_no_go,washer_id_od_thickness_mm,nut_height_mm,thread_gauge_result,visual_finish_result,disposition,inspector,date,warning
A04-REC-01,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-02,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-03,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-04,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-05,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-06,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-07,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-08,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-09,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-REC-10,screw/washer/nut sample,,,,,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
