wire_number,sheet,reference,terminal,pin_name,net
W1001,01_external_source_panel.kicad_sch,XAC1,L,LINE,FACILITY_L
W1002,01_external_source_panel.kicad_sch,XAC1,N,NEUTRAL,FACILITY_N
W1003,01_external_source_panel.kicad_sch,XAC1,PE,PROTECTIVE EARTH,PANEL_PE
W1004,01_external_source_panel.kicad_sch,PS1,AC/L,AC LINE FUNCTION,FACILITY_L
W1005,01_external_source_panel.kicad_sch,PS1,AC/N,AC NEUTRAL FUNCTION,FACILITY_N
W1006,01_external_source_panel.kicad_sch,PS1,FG,FRAME GROUND FUNCTION,PANEL_PE
W1007,01_external_source_panel.kicad_sch,PS1,+V,12 V RAW OUTPUT,RAW_12V_POS
W1008,01_external_source_panel.kicad_sch,PS1,-V,DC RETURN,RAW_0V
W1009,01_external_source_panel.kicad_sch,PS2,1,DC INPUT +,RAW_12V_POS
W1010,01_external_source_panel.kicad_sch,PS2,2,DC INPUT -,RAW_0V
W1011,01_external_source_panel.kicad_sch,PS2,3,FG,PANEL_PE
W1012,01_external_source_panel.kicad_sch,PS2,4,DC OUTPUT -,SAFE_0V
W1013,01_external_source_panel.kicad_sch,PS2,5,DC OUTPUT +24 V,SAFE_24V
W2001,02_estop_reset_safety_relay.kicad_sch,S0,NC1-A,CHANNEL 1 FEED,SAFE_24V
W2002,02_estop_reset_safety_relay.kicad_sch,S0,NC2-A,CHANNEL 2 FEED,S21_TEST
W2003,02_estop_reset_safety_relay.kicad_sch,S0,NC1-B,CHANNEL 1 RETURN,S12_CH1
W2004,02_estop_reset_safety_relay.kicad_sch,S0,NC2-B,CHANNEL 2 RETURN,S22_CH2
W2005,02_estop_reset_safety_relay.kicad_sch,S1,NO-A,RESET FEED,S12_CH1
W2006,02_estop_reset_safety_relay.kicad_sch,S1,NO-B,RESET / EDM LOOP,RESET_EDM
W2007,02_estop_reset_safety_relay.kicad_sch,SR1,A1,+24 V SUPPLY,SAFE_24V
W2008,02_estop_reset_safety_relay.kicad_sch,SR1,A2,0 V SUPPLY,SAFE_0V
W2009,02_estop_reset_safety_relay.kicad_sch,SR1,S11,TEST PULSE CH1,SAFE_24V
W2010,02_estop_reset_safety_relay.kicad_sch,SR1,S12,INPUT CH1,S12_CH1
W2011,02_estop_reset_safety_relay.kicad_sch,SR1,S21,TEST PULSE CH2,S21_TEST
W2012,02_estop_reset_safety_relay.kicad_sch,SR1,S22,INPUT CH2,S22_CH2
W2013,02_estop_reset_safety_relay.kicad_sch,SR1,S34,MONITORED START / FEEDBACK,RESET_EDM
W2014,02_estop_reset_safety_relay.kicad_sch,SR1,13,SAFETY CONTACT 1 IN,SAFE_24V
W2015,02_estop_reset_safety_relay.kicad_sch,SR1,23,SAFETY CONTACT 2 IN,SAFE_24V
W2016,02_estop_reset_safety_relay.kicad_sch,SR1,33,SAFETY CONTACT 3 IN,SAFE_24V
W2017,02_estop_reset_safety_relay.kicad_sch,SR1,41,AUXILIARY NC IN,SAFE_24V
W2018,02_estop_reset_safety_relay.kicad_sch,SR1,14,SAFETY CONTACT 1 OUT,K1_COIL_POS
W2019,02_estop_reset_safety_relay.kicad_sch,SR1,24,SAFETY CONTACT 2 OUT,K2_COIL_POS
W2020,02_estop_reset_safety_relay.kicad_sch,SR1,34,SAFETY PERMIT STATUS,HARDWIRED_PERMIT
W2021,02_estop_reset_safety_relay.kicad_sch,SR1,42,AUXILIARY NC OUT,PNOZ_AUX_STATUS
W2022,02_estop_reset_safety_relay.kicad_sch,SR1,Y32,SEMICONDUCTOR STATUS,PNOZ_Y32_STATUS
W3001,03_redundant_dc_interruption.kicad_sch,K1,1/L1,MAIN POLE 1 INPUT,RAW_12V_POS
W3002,03_redundant_dc_interruption.kicad_sch,K1,3/L2,MAIN POLE 2 INPUT,K1_POLE2_IN
W3003,03_redundant_dc_interruption.kicad_sch,K1,5/L3,MAIN POLE 3 INPUT,K1_POLE3_IN
W3004,03_redundant_dc_interruption.kicad_sch,K1,A1,24 VDC COIL POSITIVE,K1_COIL_POS
W3005,03_redundant_dc_interruption.kicad_sch,K1,A2,COIL RETURN,SAFE_0V
W3006,03_redundant_dc_interruption.kicad_sch,K1,21,MIRROR NC COMMON,RESET_EDM
W3007,03_redundant_dc_interruption.kicad_sch,K1,2/T1,MAIN POLE 1 OUTPUT,K1_POLE2_IN
W3008,03_redundant_dc_interruption.kicad_sch,K1,4/T2,MAIN POLE 2 OUTPUT,K1_POLE3_IN
W3009,03_redundant_dc_interruption.kicad_sch,K1,6/T3,MAIN POLE 3 OUTPUT,K1_OUT
W3010,03_redundant_dc_interruption.kicad_sch,K1,22,MIRROR NC RETURN,EDM_K1_OUT
W3011,03_redundant_dc_interruption.kicad_sch,K2,1/L1,MAIN POLE 1 INPUT,K1_OUT
W3012,03_redundant_dc_interruption.kicad_sch,K2,3/L2,MAIN POLE 2 INPUT,K2_POLE2_IN
W3013,03_redundant_dc_interruption.kicad_sch,K2,5/L3,MAIN POLE 3 INPUT,K2_POLE3_IN
W3014,03_redundant_dc_interruption.kicad_sch,K2,A1,24 VDC COIL POSITIVE,K2_COIL_POS
W3015,03_redundant_dc_interruption.kicad_sch,K2,A2,COIL RETURN,SAFE_0V
W3016,03_redundant_dc_interruption.kicad_sch,K2,21,MIRROR NC COMMON,EDM_K1_OUT
W3017,03_redundant_dc_interruption.kicad_sch,K2,2/T1,MAIN POLE 1 OUTPUT,K2_POLE2_IN
W3018,03_redundant_dc_interruption.kicad_sch,K2,4/T2,MAIN POLE 2 OUTPUT,K2_POLE3_IN
W3019,03_redundant_dc_interruption.kicad_sch,K2,6/T3,MAIN POLE 3 OUTPUT,TETHER_POS_SWITCHED
W3020,03_redundant_dc_interruption.kicad_sch,K2,22,MIRROR NC RETURN,RESET_EDM
W3021,03_redundant_dc_interruption.kicad_sch,XPERMIT,IN,PNOZ SAFETY CONTACT,HARDWIRED_PERMIT
W3022,03_redundant_dc_interruption.kicad_sch,XPERMIT,OUT,PERMIT INPUT,MOTION_PERMIT_INPUT
W4001,04_touch_safe_tether.kicad_sch,XT1A,P1,PROJECT-ASSIGNED SWITCHED +12 V,TETHER_POS_SWITCHED
W4002,04_touch_safe_tether.kicad_sch,XT1A,G,PRE-MATE FRAME / SHIELD REFERENCE,PANEL_PE
W4003,04_touch_safe_tether.kicad_sch,XT1A,P2,PROJECT-ASSIGNED DC RETURN,RAW_0V
W4004,04_touch_safe_tether.kicad_sch,XT1B,P1,PROJECT-ASSIGNED CONTROLLED +12 V,ROBOT_MAIN_POS
