selection_id,selection,evidence_required,state,warning
JFX2-SEL-01,fixture structural material and manufacturing process,"load, stability and metrology compatibility",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-02,six contact types/materials,"hardness, compression, friction, cleanliness and non-marring evidence",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-03,A/B/C seating forces and sequence,received article allowables and repeatability study,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-04,anti-lift/escape restraint topology and force,stability proof without redundant hard location,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-05,"fixture datum scheme, tolerances and adjustment",qualified mechanical/metrology review,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-06,"fixture fasteners, torques, locking and reuse",complete load path and received proof,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-07,article screw identities and lengths,received inventory and measured mounting depths,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-08,spacer-ring allocation,received inventory and manufacturer instruction reconciliation,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-09,temporary article torque and tool,manufacturer/qualified evidence and calibrated tool,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-10,temporary screw reuse/disposition,manufacturer or qualified engineering disposition,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-11,approved pose and measurement list,received interference/keepout review,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-12,fixture calibration and verification method,accepted uncertainty and repeatability evidence,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-13,datum B/C edge-contact allowable,"received edge condition, local stress/deformation and burr inspection",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX2-SEL-14,operator loading/unloading aids,"no pinch, drop, forced fit or hidden contact",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
