stop_id,condition,required_action,restart_authority,state,warning
FSS-STOP-01,SKU/model/communication contradiction unresolved,"STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-02,"seller, stock, landed cost, maximum spend, ship-to or receiver not accepted","STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-03,received marking/content/damage discrepancy,"STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-04,"instrument calibration, capability, method or uncertainty not accepted","STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-05,"fixture loads case, connector, cable aperture or stop surface","STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-06,temporary screw/depth/spacer/torque/reuse instruction absent,"STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-07,any source-capable equipment or powered connection in area,"STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-08,"unexpected resistance, bottoming, gap, distortion, slip or contact","STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-09,any attempt to infer cable/guard/load/bumper/supplier evidence,"STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSS-STOP-10,"raw evidence, hash or required signature incomplete","STOP, QUARANTINE/SEGREGATE, RECORD NONCONFORMANCE",SELECTION REQUIRED QUALIFIED ROLE,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
