hold_id,hold,state,closure_evidence,work_effect,warning
R251-H01,ROBOTIS written -T/SKU binding,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H02,Complete dated six-article allocation and landed cost,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H03,Program-owner maximum spend/ship-to/receiving authorization,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H04,All articles received and quarantined without discrepancy,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H05,Roles and qualifications accepted,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H06,Instrument/method/uncertainty readiness accepted,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H07,Non-damaging fixture and temporary stack instruction accepted,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H08,Zero-energy area independently witnessed,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H09,Evidence locations and immutable configuration prepared,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H10,Separate unpowered session authorization issued,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H11,All HSI raw evidence completed and dispositioned,OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R251-H12,"Teardown, post-inspection and quarantine completed",OPEN,NOT EXECUTED,BLOCKS PURCHASE OR FIRST-SHOP SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
