record_id,role,identifier,source_path,configuration_state,release_boundary,warning
CFG-01,system electrical schematic,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,electrical/kicad/project-button-v3-p1.15-carrier-candidate/project-button-v3-p1.15-carrier-candidate.kicad_pro,CURRENT CORE CANDIDATE,P1.15 remains the direct watchdog/core binding; P1.17 proves exact core parity and adds the held observation view,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-02,actuator star board,DXL-STAR-P0.2-CARRIER-CANDIDATE,electrical/kicad/hr-v0-dxl-star-p0.2-carrier-candidate/hr-v0-dxl-star-p0.2-carrier-candidate.kicad_pro,CURRENT CANDIDATE,native ERC/DRC 0/0 and source-bound P0.2 CAM review exist; supplier/process/physical release remains absent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-03,branch current-limiter carrier,HR-V0-DXL-PROT-CARRIER-P0.3,electrical/kicad/hr-v0-dxl-protection-carrier-p0.3/hr-v0-dxl-protection-carrier-p0.3.kicad_pro,CURRENT CANDIDATE,"native ERC/DRC 0/0; provider, process, FAI and physical evidence absent","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-04,carrier harness,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.1,release/hr-v0/dxl-protection-carrier-harness-p0.1/package-status.json,CURRENT CANDIDATE,source/star terminations and exact cut lengths remain selection required,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-05,carrier integration,HR-V0-DXL-CARRIER-INTEGRATION-P0.1,release/hr-v0/dxl-carrier-integration-p0.1/package-status.json,CURRENT CANDIDATE,route screens are analytical and require R162 placement reconciliation,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-06,carrier mounting interface,HR-V0-DXL-CARRIER-MOUNT-IF-P0.1,release/hr-v0/dxl-carrier-mount-p0.1/package-status.json,CURRENT CANDIDATE,center candidates only; do not drill,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-07,system BOM,HR-V0-BOM-P0.1,bom/bom.csv,CURRENT CLOSURE REGISTER,91 groups; not a procurement release,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-08,release metadata,HR-V0-RC-P0.1,release/hr-v0/release-candidate.json,CURRENT CANDIDATE,exact accepted commit and qualified signatures absent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-09,actuator star manufacturing review,HR-V0-DXL-STAR-MFG-P0.2,release/hr-v0/dxl-star-manufacturing-p0.2/package-status.json,CURRENT REVIEW EVIDENCE,quarantined internal CAM only; supplier/process/physical release remains absent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-10,watchdog P1.15 native identity,HR-V0-WD-P115-ID-P0.1,docs/hr-v0-watchdog-p115-identity-correction-p0.1.md,CURRENT DIRECT-BINDING EVIDENCE,PCB-P1.0 directly names Electrical V3-P1.15; independent acceptance and all physical evidence remain absent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
