hold_id,hold,state,execution,effect,warning
R284-H01,"Freeze exact OCC groups for all backside boss cylinders, rim curves and both rail transitions",OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H02,Execute a targeted no-high-order-optimizer remesh from the V06 size basis and retain complete raw evidence,OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H03,Demonstrate repeatability because Gmsh random-seed control is not exposed in the current tool,OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H04,Produce global and every monitored-zone fixed-bin SICN and signed-Jacobian quality evidence,OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H05,Retain exact boundary-facet/OCC identities and independently quantify B-Rep surface deviation,OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H06,"Verify curved loaded area, resultant, centroid and moment against the exact B-Rep",OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H07,"Execute production structural quadrature, exact clipped-zone statistics, probes and section resultants",OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H08,"Execute accepted L0-L3/L4 convergence, GCI and singularity trends with complete raw manifests",OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H09,Obtain independent method verification and qualified numerical acceptance before changing H02,OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R284-H10,"Keep contact, joined hardware, dynamics, material, physical proof and every work authority separate",OPEN,NOT EXECUTED,"R279-C02, R278-H02, capacity, selection, safety credit and work authority remain open","PRELIMINARY - NUMERICAL MESH-METHOD DEVELOPMENT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
