hold_id,scope,state,closure_evidence,warning
H-01,"received panel and enclosure identity, dimensions, flatness and installed offsets",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-02,"received carrier outline, thickness, populated height, hole and connector datums",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-03,current TNM3-6.5-10-1 supply identity and received dimensions/material,OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-04,"NSE-1580-M3-6 replacement identity, received dimensions and legacy-equivalence disposition",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-05,"panel-hole diameter, tolerance, positional tolerance, burr and coating process",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-06,"mounting torque, driver, locking/reuse and witness-mark rules",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-07,"static pull, shear, creep, vibration and transport acceptance loads",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-08,"temperature, fire and creep suitability of the complete mounting stack",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-09,mated JST/contact/wire/support three-dimensional envelope,OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-10,"installed cover, rear, wall, boss and service-tool clearance",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-11,"six duct-entry vectors, supports, service loops and measured route paths",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-12,all twelve production cut lengths and termination allowances,OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-13,thermal/airflow evidence around the three populated carrier assemblies,OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-14,"qualified mechanical, electrical, enclosure and coating/bonding review",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-15,"separate written authority for each procurement, drilling and physical operation",OPEN,"configuration-bound received measurement, calculation/test and qualified signoff","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
