item_id,unpowered_no_drill_action,required_record,execution_state,result,evidence_uri,warning
MET-01,"Record enclosure and panel manufacturer, part, lot and received condition","configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-02,"Measure received panel width, height, thickness, flange and flatness","configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-03,Measure installed panel-to-wall/boss rear gaps at all twelve candidate fasteners,"configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-04,Measure closed-cover clearance at all three candidate carrier regions,"configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-05,"Record each carrier revision/serial and measure outline, thickness, holes and datums","configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-06,"Record received standoff identity, body, length and both thread depths","configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-07,"Record received replacement screw identity, length, head and material declaration","configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-08,Verify 1:1 overlay scale in both axes before loose placement,"configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-09,Place three inert board envelopes; do not mark or modify the panel,"configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-10,Place connector-height gauges and close the unpowered empty enclosure,"configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-11,Mate exact JST housings/contacts and sweep actual wire samples without production cuts,"configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-12,"Verify 20 mm bend-radius, duct entry, strain relief and service-tool access","configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-13,Photograph front/rear/cover/service views with calibrated scales,"configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MET-14,Reconcile deviations and obtain qualified review before separate drilling authority,"configuration, instrument ID/calibration, measured value, photo/evidence URI, operator and reviewer",NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
