source_id,organization,document,revision_or_date,url,controlled_fact,not_proved,warning
SRC-01,Project Button,electrical/kicad/hr-v0-dxl-protection-carrier-p0.3/hr-v0-dxl-protection-carrier-p0.3.kicad_pcb,P0.3; repository hash recorded 2026-08-12,repository-local,"100 x 60 mm PCB candidate; local mounting centers (5,5), (95,5), (5,55), (95,55); JIN1 (8,30); JOUT1 (92,30); 1.6 mm board thickness candidate","fabricated-board tolerances, received dimensions, populated height, connector sweep or fitness","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-02,Project Button,electrical/panel/hr-v0-control-panel-p0.7-node-placement/candidate-backplate-layout.csv,P0.7; repository hash recorded 2026-08-12,repository-local,533.4 x 685.8 mm panel coordinate system and current component/duct envelopes,"received panel dimensions, installed depth or fabrication tolerance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-03,Project Button,electrical/harness/hr-v0-dxl-protection-carrier-harness-p0.2/placement-candidate.csv,R263 P0.2; repository hash recorded 2026-08-12,repository-local,"three 60 x 100 mm, 90-degree planning envelopes at x=438 and y=300/410/520","physical fit, drilling coordinates, connector service or thermal suitability","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-04,Hammond Manufacturing,18P2721 product page,live page accessed 2026-08-12,https://www.hammfg.com/part/18P2721,27 x 21 inch white steel inner-panel identity,received dimensions or installed panel-to-cover/rear clearance,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-05,Hammond Manufacturing,18P2721 drawing,drawing dated 2020-02-07; accessed 2026-08-12,https://www.hammfg.com/files/parts/pdf/18P2721.pdf,533.4 x 685.8 mm panel; 2.54 mm nominal thickness; 19.05 mm flange,installed clearance inside the selected enclosure,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-06,Hammond Manufacturing,PJ302410RT product page and drawing,drawing issue 2014-06-13; live page accessed 2026-08-12,https://www.hammfg.com/files/parts/pdf/PJ302410RT.pdf,762 x 610 x 257 mm external enclosure; drawing identifies optional 18P2721-size panel and nominal construction,"usable internal component clearance with received panel, bosses, door and wiring","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-07,JST Mfg. Co.,VH series eVH catalog,current retrieved catalog; accessed 2026-08-12,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,3.96 mm pitch; B2P-VH top-entry header; catalog mounting height 16.5 mm and depth 10.5 mm,"mated housing, contact, conductor, strain relief, bend or service envelope in this installation","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-08,Essentra Components,TNM3-6.5-10-1 product page,no printed revision; accessed 2026-08-09; live US fetch unavailable 2026-08-12,https://www.essentracomponents.com/en-us/p/pcb-standoffs-round-metric-threaded-insulator-nylon-brass/tnm3-6-5-10-1,"held M3 female/female, 10 mm long, 6.5 mm body, 6 mm thread-depth candidate from prior controlled record","current supply status, received identity, tolerance, material/application or load suitability","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-09,Essentra Components,0120070000VR product page,live page accessed 2026-08-12,https://www.essentracomponents.com/en-gb/p/machine-screws-pan/0120070000vr,legacy nylon M3 x 0.5 x 6 mm geometry; official page identifies NSE-1580-M3-6 as replacement,"received replacement equivalence, availability, tolerance, torque, creep or application suitability","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-10,Belden,9918 product data sheet,Rev 0.515 dated 2026-02-20; accessed 2026-08-12,https://www.belden.com/products/cable/electronic-wire-cable/lead-wire-hook-up-wire/9918,"18 AWG, 2.0 mm nominal OD and 20 mm minimum stationary/installation bend radius","installed route, bundling, support, temperature, fault or connector sweep","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
