path,role,bytes,sha256,release_state,warning
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-B_Cu.gbl,GERBER_OR_JOB,44307,38fbb95b382919f2c3b8b730e667920451e903260ab313ecfd713e8e52b5fc31,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-B_Mask.gbs,GERBER_OR_JOB,2358,e6c19afb4484ace7607045a22efa1d2a893df1e0d4f8bb55062b52ab7324b931,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-B_Paste.gbp,GERBER_OR_JOB,497,cb9e4daa20c0ac41a3171f252be5e7f51fd2897cc1c56ff4f51b21899d87e9f6,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-B_Silkscreen.gbo,GERBER_OR_JOB,498,699768cbf63cf22d25758d7f6f750fda5ed1fbe8c4a52a694fadc3c65ffcb7c1,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-Edge_Cuts.gm1,GERBER_OR_JOB,734,afa5bcceee4045dc9435f53c5735f236dc16d1495d67efcd319a6f4cd03e8cfe,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-F_Cu.gtl,GERBER_OR_JOB,3578,c488fe1d94085e0a9f5886df2e4ecb3da3b2206c7feaeb99c7f4f22f6b5e1be3,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-F_Mask.gts,GERBER_OR_JOB,2358,dd9016c52d914d8d2e2abd702048c42cf2483320f2792b3755e9e17e53f36b73,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-F_Paste.gtp,GERBER_OR_JOB,497,059cd882a2d2200b92fe4d16552a73f7940ce689949e9f4b83bdc4ff58dfff98,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-F_Silkscreen.gto,GERBER_OR_JOB,52251,9ad1caecf394c690a41b3b8255d68d26a5a9ca60349d085299f63a4d83f3d033,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-p0.2-carrier-candidate-job.gbrjob,GERBER_OR_JOB,3109,fe343a39494822cf16f1a9138074979a821d9a3022e32d559ca0ea6542883828,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/drill/hr-v0-dxl-star-p0.2-carrier-candidate-drill-report.txt,DRILL_OR_MAP_OR_REPORT,774,4e9800fcdb216b533158c957b594cb5f7f64e6c029c45feaf7ff614d01c28ca5,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/drill/hr-v0-dxl-star-p0.2-carrier-candidate-NPTH-drl_map.svg,DRILL_OR_MAP_OR_REPORT,25761,5888ef60256db00d4090ce1ff81db991ee0513fb111a56656f481c1bb33ca7e3,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/drill/hr-v0-dxl-star-p0.2-carrier-candidate-NPTH.drl,DRILL_OR_MAP_OR_REPORT,397,c2bc1b44f001197d934093021991b60f05ba1a56b1f64963276161c2a6ccfec1,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
