binding_id,role,path,sha256,bytes,warning
BR-B01,motion-controller ECAD status,hr30/whole-body-p0.1/electrical/motion-controller-p0.1/controller-status.json,a7e1f4e07b28874c131ddd8885f784462dfe26f717d69e512f3418c86d25b859,963,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B02,motion-controller terminal register,hr30/whole-body-p0.1/electrical/motion-controller-p0.1/terminal-register.csv,aaad45fd7a9c35208cb85c79ed3a2a53948946a4afb5cc3f1de8052bd62b84c2,25524,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B03,no-motion firmware status,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/firmware-status.json,850746e236dd1c953508b2167454669f9c1da3e7195c6e464b34334b52af9945,1624,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B04,target build evidence,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/output/stm32h743-p0.1/build-evidence.json,7a62d3f9579ed6bf88b971d4b1f0502eca8da4c41450e0be6da0f8eeac267424,9283,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B05,target artifact manifest,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/output/stm32h743-p0.1/artifact-manifest.csv,ccb2a74e4c0ab825dca1e23e2f381db1a5e4890b48f0eeefab7572a7a9092f0d,1235,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B06,target ELF,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/output/stm32h743-p0.1/hr30-motion-controller-stm32h743.elf,87059adf326702969b142a041172b966e514f0623f648188f85023814b59262a,132688,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B07,target BIN,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/output/stm32h743-p0.1/hr30-motion-controller-stm32h743.bin,69e51e53b7f935a75e5c41b1f9c194982ea9f7295dc237247e6df4009b170365,2164,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B08,SWD adapter status,hr30/whole-body-p0.1/electrical/swd-adapter-p0.1/adapter-status.json,2aa9c19e79fadecd23299480d30fe461e4f2c1f744ec91273e42a87a151b8514,1212,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B09,SWD adapter contact map,hr30/whole-body-p0.1/electrical/swd-adapter-p0.1/contact-map.csv,2200993e1ec35473547f14ab94b036d265be5846c02a0f1453cb6a1352d72f60,2529,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B10,SWD adapter native PCB,hr30/whole-body-p0.1/electrical/swd-adapter-p0.1/board/hr30-swd-adapter-p0.1.kicad_pcb,06a2cfeacac99e6443fc5cba4e6a01815c1f4377e75261396f0b42effadf9861,49059,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B11,logic-only power-kit status,hr30/whole-body-p0.1/electrical/logic-power-kit-p0.1/logic-power-status.json,c6a4c5edfa3de5982cb7d0a6af197d87c275843bb358ceac83f7be6841a7ef77,1011,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-B12,logic-only power contact map,hr30/whole-body-p0.1/electrical/logic-power-kit-p0.1/connector-contact-map.csv,1581e5064ef961d360fab7b5bc6f6b1e9e2acf93c8fd2fea64082f9cb1214bd0,919,"PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
