hold_id,unresolved_item,closure_evidence,state,execution_state,authority,warning
BR-H01,received motion-controller PCB,serial/revision inspection against native PCB and BOM,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H02,native SWD adapter PCB and cable,"released layout/fabrication data, assembled cable, pin-one and continuity evidence",OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H03,logic-only power source,exact supply/protection/current-limit/reference selection and review,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H04,GNDDETECT disposition,confirmed ST documentation and approved adapter connection/no-connect rule,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H05,installed CubeProgrammer and probe,"version, serial, probe firmware and receipt record",OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H06,flash and verify,executed log against frozen ELF/BIN/configuration hashes,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H07,reset/GPIO/UART physical evidence,oscilloscope/register captures including reset gap and eight direction pins,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H08,fault-injection HIL,all six cases executed with raw traces and zero actuator connections,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H09,physical torque state,remains unverified; software zero masks are not physical feedback,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H10,independent release disposition,controls and electrical reviewers sign identical evidence set,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-H11,next-stage powered-work authority,separate first-energization gates; bring-up completion alone grants none,OPEN,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
