measurement_id,measurement,unit,candidate_acceptance,instrument_id,calibration_due,measured_value,evidence_path,pass_fail,execution_state,authority,warning
BR-T01,target supply voltage before connection,V,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T02,logic-only steady current,A,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T03,logic-only inrush/current-limit response,A/ms,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T04,reset to all eight direction pins low,ms,SELECTION REQUIRED; include reset gap,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T05,UART peripheral clocks/register state,register/readback,all disabled; physical review required,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T06,heartbeat edge interval,ms,candidate nominal 100 ms; acceptance tolerance SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T07,heartbeat full period,ms,candidate nominal 200 ms; acceptance tolerance SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T08,precharge request,V,inactive level; exact voltage limit SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T09,action-ready,V,inactive level; exact voltage limit SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T10,fault diagnostic healthy/fault,V,polarity follows ECAD/firmware; exact voltage limits SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T11,controller temperature,degC,SELECTION REQUIRED,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-T12,all actuator-carrier interfaces,inspection,physically disconnected throughout,UNASSIGNED,UNRECORDED,NONE,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
