input_id,missing_input,required_units_or_record,closure_method,decisions_blocked,state,execution_state,authority,warning
PCA-I01,available prospective short-circuit current at RSP output and at each remote branch,A and clearing-time trace,source characterization with calibrated load/fault fixture,MAIN AND BRANCH FUSES,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I02,as-built one-way feed lengths and return topology,mm,measured harness drawing and continuity record,CONDUCTOR DROP/FAULT LOOP,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I03,maximum enclosure and harness ambient,degC,instrumented thermal test,DERATING,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I04,"bundle count, fill and adjacent heat sources",count/layout,as-built route inspection,DERATING,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I05,connector/contact/lug exact order codes and received variants,part/lot,CoC plus incoming inspection,CONTACT LIMITS,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I06,"controller, PDU and actuator inrush by state",A versus ms,oscilloscope/current-probe capture,NUISANCE TRIP/COORDINATION,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I07,normal RMS and peak current for each axis and five feeds,A; duty cycle,restrained staged motion measurements,WIRE/FUSE THERMAL,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I08,regenerative return energy/current and rail overvoltage,J; A; V versus ms,dynamometer/restrained deceleration and power-loss tests,REGENERATION ARCHITECTURE,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I09,"PDU copper, eFuse and connector temperature rise",degC,instrumented maximum-duty board test,PDU CAPACITY,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I10,fuse time-current curves and interrupt ratings at selected voltage,curve/rating,exact fuse datasheet and coordination study,FUSE SELECTION,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I11,source current-limit/foldback and absorption behavior,A/V versus ms,manufacturer-approved application basis plus bench characterization,SOURCE COMPATIBILITY,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I12,"Boston site branch circuit, disconnect and AHJ basis",installation record,qualified electrical review and site inspection,JURISDICTION,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I13,"strain relief, bend, flex and crimp process capability",test records,"coupon lots, pull/microsection/flex/torsion evidence",HARNESS RELEASE,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PCA-I14,single-fault and backfeed behavior across all five feeds and 25 branches,fault-injection record,guarded staged fault tests,COORDINATION/SEPARATION,OPEN,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
