case_id,condition,modeled_response,disposition,warning
FT-001,Normal heartbeat; KWD1/KWD2 closed; fresh monitored ARM,SRA1 may become eligible; no motion command is created,ELIGIBLE_CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-002,Heartbeat lost; both KWD contacts open,SRA1 A1 is removed; SRA1 outputs and K1/K2 coil commands must drop,SOURCE_TOPOLOGY_EXPECTS_OFF,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-003,KWD1 11-14 welded; KWD2 opens,Series SRA1 supply path opens at KWD2,SINGLE_CONTACT_FAULT_ADDRESSED_IN_SOURCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-004,KWD2 11-14 welded; KWD1 opens,Series SRA1 supply path opens at KWD1,SINGLE_CONTACT_FAULT_ADDRESSED_IN_SOURCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-005,Both KWD contacts welded/bypassed or shared command stuck valid,"DF-01 is lost; SRA1 stays powered, but direct SR1 inputs still control its outputs",DF01_LOST_PG01_REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-006,E-stop demand with both KWD contacts welded,SR1 outputs open both direct SRA1 input paths; SRA1 outputs must drop independently of KWD,SOURCE_NONINTERFERENCE_PASS_PHYSICAL_TEST_REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-007,Heartbeat restored after successful dropout; no new ARM,SRA1 may repower but falling-edge monitored start must keep outputs off,RESTART_TEST_REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-008,Heartbeat restored; later fresh ARM; EDM healthy,SRA1 may become eligible; supervisor still requires a fresh trajectory,ELIGIBLE_CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-009,One KWD contact remains open with valid heartbeat,SRA1 remains unpowered; nuisance-safe loss,EXPECTED_OFF,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-010,KWD source-to-output internal short keeps SRA1 A1 powered,DF-01 may be lost; no modeled path to SR1/SRA1 input returns,ROUTING_AND_PHYSICAL_FAULT_TEST_REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-011,External bridge bypasses the complete SRA1 supply gate,DF-01 is lost; SF-01/SF-03 source authority remains in SR1/SRA1 inputs and outputs,PROTECTED_ROUTING_REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-012,"SRA1 A1 brownout, relay chatter or asynchronous KWD opening",Response and recovery are not accepted from source logic,MANUFACTURER_AND_PHYSICAL_TEST_REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-013,KWD hot conductor bridges into an SRA1 input/start conductor,Credited logic could be impaired,HAZARDOUS_ROUTE_FAULT_OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-014,SRA1 internal output fault or K1/K2 final-element fault,KWD supply gate receives no credit for the safety function,SF01_SF03_VALIDATION_OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
