board_instance,channel,axis_id,bus_id,actuator_family,r_ilm_variant,candidate_threshold,population_state,walking_state,warning
PDU-LLEG,1,L_HIP_YAW,RS-LLEG,XH540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-LLEG,2,L_HIP_ROLL,RS-LLEG,XH540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-LLEG,3,L_HIP_PITCH,RS-LLEG,XH540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-LLEG,4,L_KNEE_PITCH,RS-LLEG,XH540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-LLEG,5,L_ANKLE_PITCH,RS-LLEG,XM430,1.47k,2.268 A nominal; 2.041-2.495 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-LLEG,6,L_ANKLE_ROLL,RS-LLEG,XM430,1.47k,2.268 A nominal; 2.041-2.495 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-RLEG,1,R_HIP_YAW,RS-RLEG,XH540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-RLEG,2,R_HIP_ROLL,RS-RLEG,XH540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-RLEG,3,R_HIP_PITCH,RS-RLEG,XH540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-RLEG,4,R_KNEE_PITCH,RS-RLEG,XH540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
