hold_id,subject,evidence_required,state,work_authority_effect,warning
MCP-H01,qualified drawing/GD&T review,Named qualified mechanical reviewer disposition of all five drawings and ICF-01,OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H02,provider DFM,Written acceptance of exact STEP/DXF/drawing hashes and every tolerance/operation,OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H03,material,Received 6061-T651 heat-lot MTR and finished thickness evidence,OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H04,countersink/fastener,"Received M5 lot seating, contact, flushness, gauge and residual-material evidence",OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H05,C05 column interface,"Received S102/profile/T-slot fit, engagement, torque, pullout, slip and prying proof",OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H06,C04 gripper interface,"Received H104 fit, engagement, tool access, load and proof evidence",OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H07,C06/C07 stop,"Bumper selection plus received rail/step metrology, contact, load and life evidence",OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H08,first articles,All thirty FAI operations executed with calibrated-tool identities and accepted results,OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H09,mass properties,"Received mass, COM and inertia ledger reconciled to the full arm",OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H10,assembly fit,Unpowered full-chain dry fit with cable/guard/service/tool clearances,OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H11,structural proof,"Accepted static, stop, fatigue and proof-test results under released load cases",OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MCP-H12,configuration acceptance,"Merged immutable baseline, clean-clone reproduction and signed configuration review",OPEN,"BLOCKS QUOTATION, FABRICATION, ASSEMBLY AND MOTION RELEASE","PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
