acceptance_id,criterion,execution_state,result,evidence_uri,approver,warning
R272-ACC-01,"Qualified reviewer accepts P0.11 CAD, contact-normal extraction, 118 degree retuned striker datum and analysis scope",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-02,"C07 M2.5 length, grip, head/nut/washer stack, torque, locking, reuse and tool access are selected and accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-03,"C06 and C07 bolt/frame/extrusion contact, preload, clearance, slip, bearing and prying are modeled and physically calibrated",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-04,"Nonlinear C06/C07 one-rail and twin-rail contact including tolerance, edge contact and first-contact mismatch is converged",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-05,"Received 6061-T651 material identity, MTR, orientation, machining effects and qualified allowables/factors are accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-06,"Accepted inertia, approach/overspeed, motor-current decay, bumper force-stroke and event spectrum drive dynamic analysis",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-07,"Deflection, stopping travel, overtravel, rebound, fatigue and damage acceptance limits are qualified",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-08,"Guard, receiver and cable envelopes are regenerated for the 108 mm contact envelope and accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-09,"Provider DFM, conventional drawings, datum/GD&T scheme and first-article plan are accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-10,"Received C06/C07 geometry, material, fastener stacks, mass and unpowered fit/contact marks pass inspection",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-11,Single-rail and twin-rail strain/force/angle proof and stopping tests correlate to accepted models,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R272-ACC-12,Configuration-bound qualified release and separate work authority are signed,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
