calibration_id,instrument_or_source,measurand,required_record,manufacturer,model,serial,calibration_certificate,calibration_due,uncertainty,status,warning
CAL-001,target monotonic clock,time,implementation identity/resolution/drift,,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-002,UTC reference,time,source/offset/uncertainty,,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-003,timestamp or logic analyzer,time,sample rate/timebase/trigger uncertainty,,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-004,oscilloscope,time/voltage,"timebase, probe and channel skew",,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-005,DMM,voltage/resistance,range and uncertainty,,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-006,current probe/logger,current/time,"zero, bandwidth and uncertainty",,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-007,temperature instruments,temperature/time,"sensor identity, placement and uncertainty",,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-008,joint angle reference,angle/time,"datum, resolution and uncertainty",,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-009,linear position reference,distance/time,"datum, resolution and uncertainty",,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-010,force/load instrumentation,force/time,"range, overload and uncertainty",,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-011,video synchronization witness,time/image,"frame rate, trigger and timestamp uncertainty",,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CAL-012,storage health/free-space monitor,bytes/time,method and threshold verification,,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
