channel_id,event,cadence,required_payload,acceptance_rule,status,warning
LOG-CH-001,SESSION_START,once per exclusive session,complete context identities and hashes; context SHA-256,context is complete and hash-valid,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-002,RUNTIME_START_REQUEST,on start request,state; heartbeat; torque request; bus torque; trajectory; fault,written before hardware access,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-003,RUNTIME_STARTED,after torque-off bus setup,complete runtime status,runtime reports started only after setup,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-004,CYCLE_BEGIN,every runtime cycle,complete runtime status,period selected at no more than 10 ms,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-005,FEEDBACK_SAMPLE,every runtime cycle that reaches hardware read,joint positions and eleven hardware/health observations,no missing or nonfinite released field,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-006,COMMAND_RECEIVED,every received command,session; sequence; source/deadline times; config/model hashes; mode; samples; endpoints,complete before acceptance decision,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-007,COMMAND_DECISION,every received command,trajectory; sequence; accepted; state; fault,one decision per received command,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-008,COMMAND_SAMPLE,every actuator sample write,index; due time; commanded/measured positions; terminal-reassert flag,write evidence is configuration bound,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-009,SUPERVISOR_EVENT,every in-memory supervisor event,source event; source state; detail; source monotonic time,no source event omitted or reordered,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-010,CYCLE_OUTPUT,every completed or fault-shortened cycle,complete runtime status,paired with cycle start under accepted loss policy,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-011,RUNTIME_SHUTDOWN_REQUEST,on shutdown request,complete runtime status,record attempt cannot prevent cleanup,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-012,RUNTIME_STOPPED,after heartbeat/bus/resources cleanup,complete runtime status,started false and torque false,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-013,RUNTIME_FAIL_CLOSED,best effort after runtime failure,complete runtime status and latched fault,failure to log never skips heartbeat/torque removal,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-CH-014,SESSION_END,clean close only,closed_cleanly true,absence means truncated/abrupt end; never inferred clean,SOURCE_IMPLEMENTED_TARGET_UNVERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
