hold_id,topic,evidence_needed,state,warning
R158-H01,Custom RPW land pattern,"Internal datasheet/vector parity passed; independent footprint audit, assembler DFM, stencil-provider acceptance and first-article AOI/X-ray remain required",PARTIAL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H02,PCB stackup/copper,"Selected fabricator stackup, copper weight, laminate, finish and impedance/process limits",OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H03,Thermal performance,Physical steady-state and fault-pulse temperatures at released ambient/enclosure,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H04,Forward-current window,Three physical variants; shunt-calibrated current and register capture,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H05,Reverse current,Magnitude/duration/energy waveforms for single- and multi-axis regeneration,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H06,Clamp pulse energy,Physical waveform and thermal proof for external Pololu 3771 candidate,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H07,Source/contactors/fuse coordination,"Fault current, source foldback, DC interruption and protection study",OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H08,JST VH harness,Exact housing/contact/wire/crimp/tool/length/retention/thermal release,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H09,ILM probing,Total parasitic and probe capacitance below TI 50 pF limit,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H10,Input/output capacitance,Received capacitance under DC bias plus transient captures,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H11,TVS requirement,Measured interconnect inductance and transients; exact TVS selection if required,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H12,Grounding/PE,Qualified review of the single DC 0 V/PE bond and test-fixture implementation,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H13,EMC/signal interaction,Conducted/radiated and DXL waveform evidence with branch limiter installed,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H14,HIL/fault injection,Open/short/reverse/backfeed/welded/failed-passive fault matrix execution,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H15,Qualified review,Named electrical and functional-safety reviewers accept scope and evidence,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
R158-H16,Work authorization,Signed configuration-specific fabrication/assembly/connection/energization authority,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
