case_id,fault,modeled_response,disposition,closure_evidence,safety_credit,warning
AF-001,KWD1 11-14 welded; heartbeat removed,KWD2 opens SRA1 channel 2; SRA1 expected OFF,SOURCE TOPOLOGY ADDRESSES SINGLE FAULT,physical injection and asynchronous-input behavior,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-002,KWD2 11-14 welded; heartbeat removed,KWD1 opens SRA1 channel 1; SRA1 expected OFF,SOURCE TOPOLOGY ADDRESSES SINGLE FAULT,physical injection and asynchronous-input behavior,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-003,Both KWD contacts welded/bypassed,Both SRA1 returns can remain complete,HAZARDOUS / OPEN,dependent-failure and common-cause control,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-004,Shared controller or driver keeps both KWD coils energized,Both SRA1 returns can remain complete,HAZARDOUS / OPEN,independent architecture or justified safety allocation,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-005,One channel conductor shorted around KWD,Other channel opening is expected to remove eligibility,SOURCE TOPOLOGY ADDRESSES SINGLE FAULT,protected routing and cross-short test,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-006,Both channel conductors bypassed by common route damage,Both SRA1 returns can remain complete,HAZARDOUS / OPEN,"separation, protection and credible-fault disposition",NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-007,One KWD contact bounces or opens earlier,SRA1 should drop or enter a fault/non-start state,APPLICATION TEST REQUIRED,received-hardware timing trace and Pilz fault-recovery proof,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-008,Heartbeat returns without a fresh monitored ARM event,"SRA1, K1 and K2 must remain OFF",APPLICATION TEST REQUIRED,executed restart-prevention trace,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-009,Start or feedback-loop cross-short,Pilz manual says these cross-shorts are not detected,HAZARDOUS / OPEN,protected/separate installation and inspection,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AF-010,KWD coil suppression or driver fails short/open,"Effect depends on exact driver, suppression, PCB and relay failure",APPLICATION/FMEA OPEN,"complete circuit, component failure modes and physical injection",NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
