sequence,sheet,reference,terminal,pin_name,net,source_status,application_state,safety_credit,warning
1,02_estop_eligibility.kicad_sch,SR1,A1,24V SUPPLY,SAFETY_24V,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,02_estop_eligibility.kicad_sch,SR1,A2,0V SUPPLY,SAFETY_0V,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,02_estop_eligibility.kicad_sch,SR1,13,SAFETY OUT1 IN,SRA1_S11,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,02_estop_eligibility.kicad_sch,SR1,14,SAFETY OUT1 OUT,SR1_OUT1_TO_KWD1,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,02_estop_eligibility.kicad_sch,SR1,23,SAFETY OUT2 IN,SRA1_S21,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,02_estop_eligibility.kicad_sch,SR1,24,SAFETY OUT2 OUT,SR1_OUT2_TO_KWD2,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,03_arm_watchdog_eligibility.kicad_sch,SRA1,A1,24V SUPPLY,SAFETY_24V,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,03_arm_watchdog_eligibility.kicad_sch,SRA1,A2,0V SUPPLY,SAFETY_0V,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,03_arm_watchdog_eligibility.kicad_sch,SRA1,S11,INPUT CH1 FEED,SRA1_S11,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,03_arm_watchdog_eligibility.kicad_sch,SRA1,S12,INPUT CH1 RETURN / START FEED,SRA1_S12,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
