step_id,operation,controlled_requirement,numeric_acceptance,execution_state,evidence_uri,warning
MP-01,receive and identify,"verify every housing, contact, terminal and wire lot against exact manufacturer identity",SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-02,received fit,verify 5025 #8 branch screw interface and one-ring-per-screw arrangement; no stacking inference,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-03,placement mock-up,"install inert dimensional articles at the P0.2 rotated candidates; verify enclosure depth, covers, sweeps, support and service access",SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-04,route survey,measure each installed centerline through selected duct/support path with 20 mm minimum wire bend radius,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-05,cut,apply accepted route-specific allowance and record actual cut length; no project value exists yet,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-06,strip JST end,use controlled SVH-21T-P1.1/9918 process; inspect for strand or insulation damage,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-07,crimp JST end,use manufacturer/qualified-provider controlled tooling and numeric acceptance; no generic plier,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-08,strip Panduit end,use accepted PN18-8R-E/9918 process and numeric strip acceptance,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-09,crimp Panduit end,use accepted tooling/product combination and record inspection/pull evidence,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-10,populate,positive to cavity 1 and return to cavity 2; verify latch and contact seating,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-11,label and support,apply accepted labels and support so no connector or screw terminal carries cable mass,SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-12,unpowered inspection,"100 percent continuity, polarity, isolation, retention and second-person point-to-point check",SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MP-13,qualified testing,"only after separate authority, execute protected current, drop, thermal, fault and reverse-energy tests",SELECTION REQUIRED / TEST REQUIRED,NOT EXECUTED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
