hold_id,scope,state,closure_evidence,warning
H-01,P0.2 carrier placement,OPEN,"received carrier/enclosure dimensions, depth, connector sweeps, standoffs, airflow, cover and service-access proof for all three rotated candidates","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-02,5025 circuit/return assignment,OPEN,received block orientation and a controlled one-ring-per-branch-screw F1/F2/F3 positive/return assignment,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-03,route and cut lengths,OPEN,"installed route measurement for all six harnesses including duct transitions, 20 mm bends, supports, service loops and termination allowances","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-04,JST processing,OPEN,"manufacturer/qualified-provider strip, crimp, tool, inspection, pull and sampling limits for SVH-21T-P1.1 with Belden 9918","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-05,Panduit processing,OPEN,"approved PN18-8R-E/Belden 9918 tooling/product combination, strip/crimp limits, inspection, pull and sampling evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-06,labels and supports,OPEN,"exact label, abrasion protection, tie-down and strain-relief materials plus placement/retention evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-07,installed electrical limits,OPEN,"fault current, fuse, source foldback, ambient, bundling, connector/terminal limits, inrush, regeneration, duty and jurisdiction evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-08,received electrical inspection,OPEN,"configuration-bound continuity, polarity, isolation, torque and retention results for every harness","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-09,protected physical tests,OPEN,"accepted limited-energy voltage-drop, temperature-rise, fault-clearing and reverse-energy results","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-10,qualified review and authority,OPEN,qualified electrical/mechanical review plus separate written authority for procurement and each physical stage,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
