step_id,step,required_inputs,output,execution_state,acceptance,warning
RB-01,Compile accepted physical-property bundle,R248 accepted results plus hashes/signatures,canonical accepted bundle,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-02,Reconcile coordinate frames and pose transforms,accepted as-built datums and calibration,axis-specific COM/radius envelope,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-03,Rebuild gravity/static torque envelopes,RB-01/RB-02 plus payload,J1/J2 gravity envelope with uncertainty,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-04,Rebuild acceleration/jerk torque,accepted acceleration/jerk/duty,dynamic torque envelope with uncertainty,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-05,Characterize continuous/cyclic actuator duty,received current/torque/thermal tests,accepted actuator operating envelope,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-06,Rebuild stopping energy/travel,"accepted inertia, velocity and measured stop chain",statistical stopping envelope,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-07,Rebuild hard-stop/guard/receiver loads,RB-03/RB-04/RB-06 plus contact data,peak/contact/containment cases,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-08,Rebuild structure/joint/anchor proof,accepted loads/material/joint factors,signed calculation/proof package,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-09,Derive firmware motion limits,accepted envelopes and calibration,configuration-bound limits and HIL cases,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RB-10,Qualified integrated acceptance,all prior rows and physical results,signed release decision; separate work authority still required,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
