facet_id,source_tet10_element_tag,source_local_face,node_tags_json,node_xyz_json,nearest_occ_face_tag_diagnostic_only,nearest_face_signature_sha256,nearest_face_type,nearest_face_bbox_mm_json,six_node_deviation_mm_json,maximum_six_node_deviation_mm,mean_six_node_deviation_mm,node_face_membership_tolerance_mm,within_0p005_surface_screen,exact_membership_gate,warning
6,1215192,0,"[384045,381981,9,391460,389747,390296]","[[39.742998825435286,8.005,20.33862513722085],[39.90265684269619,8.005,20.400636917236877],[39.8,8.005,20.2],[39.822827834065734,8.005,20.369631027228866],[39.85132842134809,8.005,20.300318458618438],[39.771499412717645,8.005,20.26931256861042]]",76,5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62,Plane,"[37.7999999,8.0049999,19.1999999,39.8000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24,1239683,0,"[382452,12,381979,384587,384588,384586]","[[48.34182379623866,8.005,20.376778025842658],[48.2,8.005,20.2],[48.11997181372571,8.005,20.370646691639383],[48.27091189811932,8.005,20.288389012921332],[48.15998590686286,8.005,20.285323345819695],[48.23089780498218,8.005,20.37371235874102]]",77,104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e,Plane,"[39.7999999,8.0049999,19.1999999,48.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30,1150546,0,"[382002,13,383236,386940,386939,386855]","[[38.64089607642949,8.005,19.30991180215405],[38.8,8.005,19.2],[38.59609095693783,8.005,19.093986008061965],[38.72044803821474,8.005,19.25495590107703],[38.69804547846891,8.005,19.14699300403098],[38.61849351668366,8.005,19.201948905108008]]",75,718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33,Plane,"[37.7999999,8.0049999,-17.2000001,39.8000001,8.0050001,19.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
48,1137427,0,"[382033,16,382445,384523,384521,384522]","[[38.61721923120617,8.005,-17.10665349056732],[38.8,8.005,-17.2],[38.612024646608894,8.005,-17.331514203624888],[38.70860961560308,8.005,-17.15332674528366],[38.70601232330445,8.005,-17.265757101812444],[38.61462193890753,8.005,-17.219083847096105]]",74,37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
54,1109870,0,"[383671,17,381982,387974,389746,390632]","[[39.68971675540505,8.005,-18.345575656721024],[39.8,8.005,-18.2],[39.90957952051629,8.005,-18.39037064771872],[39.74485837770253,8.005,-18.272787828360514],[39.85478976025814,8.005,-18.295185323859357],[39.79964813796067,8.005,-18.36797315221987]]",74,37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
72,1110540,0,"[381980,20,382460,384591,384589,384590]","[[48.11997181372571,8.005,-18.370646691639354],[48.2,8.005,-18.2],[48.34171918268319,8.005,-18.37589329679811],[48.15998590686286,8.005,-18.285323345819677],[48.27085959134159,8.005,-18.287946648399057],[48.23084549820445,8.005,-18.373269994218735]]",80,28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e,Plane,"[48.1999999,8.0049999,-19.2000001,50.2000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
78,1219641,1,"[382004,21,382472,386412,386410,386411]","[[49.34414601247886,8.005,-17.31090806158648],[49.2,8.005,-17.2],[49.36499600702599,8.005,-17.09207217486444],[49.272073006239424,8.005,-17.255454030793242],[49.28249800351299,8.005,-17.146036087432222],[49.35457100975242,8.005,-17.20149011822546]]",79,9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6,Plane,"[48.1999999,8.0049999,-17.2000001,50.2000001,8.0050001,19.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
84,1110026,0,"[383954,22,381997,389930,389607,389929]","[[49.33638525332176,8.005,19.091046206507517],[49.2,8.005,19.2],[49.35934581510006,8.005,19.314185596305474],[49.26819262666088,8.005,19.145523103253755],[49.27967290755003,8.005,19.257092798152737],[49.34786553421091,8.005,19.202615901406492]]",78,726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352,Plane,"[48.1999999,8.0049999,19.1999999,50.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1771,1175789,1,"[295,382286,383639,388314,388312,388313]","[[39.8,8.005,-19.2],[39.71032315772653,8.005,-19.025414059608796],[39.9072871225718,8.005,-19.033292528088037],[39.75516157886326,8.005,-19.112707029804398],[39.80880514014917,8.005,-19.029353293848416],[39.8536435612859,8.005,-19.116646264044018]]",74,37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1778,1194578,2,"[383747,296,383848,391039,391268,384809]","[[48.26332780123862,8.005,-19.040695986338463],[48.2,8.005,-19.2],[48.09076403665209,8.005,-19.077255604218067],[48.23166390061931,8.005,-19.120347993169233],[48.145382018326046,8.005,-19.13862780210903],[48.17704591894535,8.005,-19.058975795278265]]",80,28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e,Plane,"[48.1999999,8.0049999,-19.2000001,50.2000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
