marker_id,classification,reference_or_location,printed_text,marker_stock,item_number,text_field_mm,configured_quantity,release_state,required_evidence,warning
DM-001,device_reference,S0,S0,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-002,device_reference,S1,S1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-003,device_reference,S2,S2,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-004,device_reference,H1,H1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-005,device_reference,SR1,SR1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-006,device_reference,SRA1,SRA1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-007,device_reference,KWD1,KWD1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-008,device_reference,KWD2,KWD2,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-009,device_reference,K1,K1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-010,device_reference,K2,K2,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-011,device_reference,WDPCB1,WDPCB1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-012,device_reference,INJ1,INJ1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-013,device_reference,XT1,XT1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; placement adjacent to terminal group; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-014,device_reference,F24,F24,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - DEVICE SELECTION AND INSTALL HOLD,"exact protective device; received stock; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-015,device_reference,F0,F0,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PROTECTION AND INSTALL HOLD,"selected fuse/link; received stock; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-016,device_reference,F1,F1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PROTECTION AND INSTALL HOLD,"selected fuse/link; received stock; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-017,device_reference,F2,F2,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PROTECTION AND INSTALL HOLD,"selected fuse/link; received stock; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-018,device_reference,F3,F3,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PROTECTION AND INSTALL HOLD,"selected fuse/link; received stock; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-019,device_reference,FSR1,FSR1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PROTECTION AND INSTALL HOLD,"selected fuse/link; received stock; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-020,device_reference,FSR2,FSR2,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PROTECTION AND INSTALL HOLD,"selected fuse/link; received stock; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-021,device_reference,SD1,SD1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - APPLICATION AND INSTALL HOLD,"received device; source/load disposition; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-022,device_reference,J24,J24,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - INTERFACE AND INSTALL HOLD,"received interface; artwork; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-023,device_reference,CCASE1,CCASE1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-024,device_reference,PI1,PI1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-025,device_reference,COOL1,COOL1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-026,device_reference,U2D2,U2D2,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received stock; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-027,device_reference,PSU3,PSU3,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received source; artwork; substrate compatibility; cable-adjacent placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-028,device_reference,PSA1,PSA1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - SOURCE AND INSTALL HOLD,"received source; artwork; substrate compatibility; cable-adjacent placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-029,device_reference,PSU2,PSU2,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - SOURCE AND INSTALL HOLD,"received source; artwork; substrate compatibility; cable-adjacent placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-030,device_reference,ENC1,ENC1,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - PRINT AND INSTALL HOLD,"received enclosure; artwork; substrate preparation; adhesion; final placement; as-built inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-031,operator_legend,S0,EMERGENCY STOP,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - HUMAN-FACTORS AND INSTALL HOLD,"two-line artwork; minimum 3 mm capital height; visibility; permanence; operator comprehension; qualified review",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-032,operator_legend,S1,RESET,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - HUMAN-FACTORS AND INSTALL HOLD,"single-line artwork; minimum 3 mm capital height; visibility; permanence; operator comprehension; qualified review",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-033,operator_legend,S2,ARM REQUEST,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - HUMAN-FACTORS AND INSTALL HOLD,"two-line artwork; minimum 3 mm capital height; visibility; permanence; operator comprehension; qualified review",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
DM-034,operator_legend,H1,RESET STAGE READY,US-EMLP (17.5X15),0830839,17.5 x 15,1,EXACT TEXT/MATERIAL CANDIDATE - HUMAN-FACTORS AND INSTALL HOLD,"three-line artwork; minimum 3 mm capital height; visibility; permanence; state comprehension; qualified review",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
