hold_id,scope,open_item,evidence_required,warning
LBL-HOLD-001,PRINT PROCESS,No printer marking service ribbon cartridge software or file format is selected,"Exact current process chain; manufacturer compatibility; sample output; controlled settings and revision record",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-002,ARTWORK,Font weight alignment line breaks and black-print specification are candidates only,"Rendered 1:1 proofs; minimum character-height inspection; approved artwork hashes",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-003,TERMINAL FIT,No received 0828734 marker is installed in a received XT1 terminal,"Received identity; latch fit; retention; visibility and position-to-net inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-004,ADHESION,No received adhesive marker has been applied to the selected cleaned substrates,"Substrate/coating identity; preparation method; dwell time; peel/edge-lift and cleaning evidence",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-005,PLACEMENT,Exact marker coordinates and keep-outs are not released,"Received panel/door dimensions; rear/face interference review; readable installed-location drawing",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-006,HUMAN FACTORS,Operator legends and warning hierarchy are not independently accepted,"Viewing distance/angle/light test; comprehension test; color/contrast review; qualified decision",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-007,WIRE MARKERS,Conductor marker stock sleeves and end-to-end wire-label schedule remain selection required,"Released conductor outside diameters; true point-to-point wire list; carrier compatibility; two-end inspection",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-008,REGULATORY MARKING,The three project warnings do not replace jurisdiction or code-required labels,"Boston site/application review; required electrical hazard source rating disconnect PE and enclosure markings",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-009,DURABILITY,No printed sample has passed cleaning abrasion humidity UV or temperature screening,"Accepted exposure list; sample conditioning; legibility/adhesion results and replacement interval",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-010,RECEIVING,No label stock or custom-printed article has been received,"Photographs; lot/pack identity; dimensions; color; damage and shelf/storage record",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-011,AS BUILT,No installed-label point-to-point/configuration inspection exists,"Signed marker-by-marker inspection against exact schedule and current configuration",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
LBL-HOLD-012,QUALIFIED REVIEW,No qualified electrical or functional-safety reviewer has accepted this identification system,"Competence/independence record; finding closure; signed configuration-specific disposition",PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
