hold_id,hold,state,evidence,warning
R244-H01,Received-lot Belden 3057 identity and calibrated four-wire DCR at recorded conductor temperature,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H02,"Actual seven-wire cut lengths including terminal entry, bend arcs, service allowance and routing tolerance",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H03,"Complete circuit return paths, source tolerance/droop and all terminal/contact resistances",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H04,"Maximum KWD coil current across voltage and temperature, not typical current alone",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H05,Complete KWD2:21 feedback burden and worst-case state,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H06,"Qualified minimum-voltage and maximum-drop acceptance at every load during steady, inrush, reset and fault cases",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H07,"Ambient, conductor temperature coefficient, bundling, duty, enclosure heating and measured thermal validation",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H08,"F24/site fault-current and time-current coordination with conductor, terminal and connector limits",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H09,Exact compatible Pilz 750104 bit and terminal access proof,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H10,Exact compatible Phoenix 2967060 bit/reach and terminal access proof,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H11,"Installed continuity, voltage, temperature, torque, retention and photographic evidence",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R244-H12,"Qualified electrical/functional-safety review, P1.21 acceptance and signed work authorization",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
