hold_id,subject,status,evidence_needed,warning
DXL-HAR-HOLD-001,BOM-061 controller conductor and exact length,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-002,BOM-054/BOM-055 wire-contact compatibility and controlled crimp process,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-003,"received BOM-086 cable identity, construction, continuity and polarity",OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-004,"cable routing, strain relief, service loop, flex/bend and abrasion evidence",OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-005,JST EH 3 A versus XM540 4.4 A application disposition,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-006,external branch-current measurement and internal-current relationship,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-007,connector/conductor thermal stabilization and ambient/bundling basis,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-008,BOM-015 branch protection and fault-clearing coordination,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-009,no-backfeed and all power-sequence/fault evidence,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-010,"DXL waveform, baud, topology, EMC and error-rate evidence",OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-011,manufacturer responses or qualified written application disposition,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-012,received DXL-STAR first article and harness mating/retention evidence,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-013,independent electrical/manufacturing review,OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-HAR-HOLD-014,"separate written procurement, fabrication, assembly and powered-work authority",OPEN,executed accepted record linked to the applicable acceptance row,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
