acceptance_id,subject,acceptance_basis,execution_state,result,evidence_uri,approver,approval_date,warning
HRA-001,received branch-cable identity,three received 180 mm JST-JST X3P cables traced to their actuator packages,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-002,factory-cable continuity/polarity,pin-by-pin continuity and no shorts for HAR-J1/HAR-J2/HAR-G1,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-003,controller-cable construction,HAR-CTRL only cavities 1 and 3 populated at both ends; exact selected wire/tool/process accepted,SELECTION REQUIRED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-004,controller-cable continuity/isolation,1-to-1 and 3-to-3 continuity; cavity 2 absent; all unintended pairs isolated,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-005,no-backfeed/power sequencing,no VDD transfer into U2D2 or between VDD1/VDD2/VDD3 for every controlled sequence/fault case,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-006,XM540 branch current,externally measured waveform and RMS within a qualified connector/cable envelope; no unpublished transient allowance inferred,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-007,current-limit relationship,external branch current characterized at every guarded internal-current setting and representative duty,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-008,connector/cable temperature,"stabilized temperatures meet a qualified limit under worst accepted duty, ambient and bundling",SELECTION REQUIRED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-009,waveform/communication,"baud/topology/route error-rate, edge, ringing and common-mode evidence accepted",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
HRA-010,protection/fault clearing,"source, conductor, connector and protection coordination accepted for overload, short, inrush and regeneration",SELECTION REQUIRED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
