line_id,manufacturer,manufacturer_part_number,description,quantity_per_board,references,process_class,alternate_policy,sourcing_state,warning
WD-BOM-001,Harwin,S1751-46R,SMT test point,16,TP1;TP10;TP11;TP12;TP13;TP14;TP15;TP16;TP2;TP3;TP4;TP5;TP6;TP7;TP8;TP9,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-002,Murata,GRM21BR71H104KA01L,"100 nF, 50 V, X7R, 0805",3,CDEC1;CDRV1;CDRV2,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-003,Panasonic Industry,ERJ6ENF1001V,"1.00 kohm, 1%, 0805",2,RSO1;RSO2,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-004,Panasonic Industry,ERJ6ENF1002V,"10.0 kohm, 1%, 0805, 0.125 W",3,RHP1;RPD1;RPD2,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-005,Panasonic Industry,ERJ6ENF5620V,"562 ohm, 1%, 0805",2,RSN1;RSN2,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-006,Panasonic Industry,ERJ6ENF9100V,"910 ohm, 1%, 0805, 0.125 W",1,RHB1,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-007,Phoenix Contact,1751248,"MKDS 1/2-3,5, 2 position",2,JWF1;JWH1,MANUAL_THT_POST_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-008,Phoenix Contact,1751264,"MKDS 1/4-3,5, 4 position",1,JWP1,MANUAL_THT_POST_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-009,Raspberry Pi,SC0915,Raspberry Pi Pico 1 / RP2040 module,1,WDCTRL1,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-010,TDK,CGA3E2X7R1H103K080AA,"10 nF, 50 V, X7R, 0603",2,CFI1;CFI2,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-011,TRACO POWER,TSR 1-2450,"24 V to 5 V, 1 A, non-isolated",1,DC1,MANUAL_THT_POST_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-012,Texas Instruments,ISO1212DBQ,"dual isolated 24 V input receiver, DBQ0016A",1,UFB1,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-013,Texas Instruments,TPL7407LPWR,"seven-channel low-side driver, PW0016A",2,UDRV1;UDRV2,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-014,Vishay,CRCW12102K70FKEA,"2.70 kohm, 1%, 0.5 W, 1210",2,RW1;RW2,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-015,Vishay,MMA02040C1001FB300,"1.00 kohm, 1%, 0.4 W, MELF",2,RTH1;RTH2,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-BOM-016,Vishay,VO618A-4X017T,"phototransistor optocoupler, option 7",1,ISO1,SMD_REFLOW,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,EXACT MPN CANDIDATE - PROVIDER/LOT/DATE-CODE/ATTRITION RELEASE OPEN,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
