reference,manufacturer,manufacturer_part_number,description,footprint,process_class,side,board_origin_convention,board_x_mm,board_y_mm,source_rotation_deg,orientation_control,assembler_transform_state,assembly_state,warning
CDEC1,Murata,GRM21BR71H104KA01L,"100 nF, 50 V, X7R, 0805",Murata_GRM21_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,74.200,53.500,90.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,Murata,GRM21BR71H104KA01L,"100 nF, 50 V, X7R, 0805",Murata_GRM21_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,72.000,19.000,180.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,Murata,GRM21BR71H104KA01L,"100 nF, 50 V, X7R, 0805",Murata_GRM21_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,104.000,19.000,180.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,TDK,CGA3E2X7R1H103K080AA,"10 nF, 50 V, X7R, 0603",TDK_CGA3_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,84.000,50.000,90.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,TDK,CGA3E2X7R1H103K080AA,"10 nF, 50 V, X7R, 0603",TDK_CGA3_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,84.000,60.800,-90.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,TRACO POWER,TSR 1-2450,"24 V to 5 V, 1 A, non-isolated",Converter_DCDC_TRACO_TSR-1_THT,MANUAL_THT_POST_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,30.000,14.000,0.000,PIN 1 VIN MARKED - VERIFY BODY MARK AND PIN 1 BEFORE INSERTION,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,THT_APPLICATION_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,Vishay,VO618A-4X017T,"phototransistor optocoupler, option 7",VO618A_Option7_SMD,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,42.000,88.000,0.000,POLARIZED - PIN 1 MARKED - PRESERVE ISOLATION REGION,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ISOLATION_AND_ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,Phoenix Contact,1751248,"MKDS 1/2-3,5, 2 position",MKDS_1_2_3P5,MANUAL_THT_POST_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,130.000,56.000,0.000,PIN 1 MARKED; NOT KEYED - VERIFY RECEIVED ORIENTATION,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TERMINAL_SUPPORT_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,Phoenix Contact,1751248,"MKDS 1/2-3,5, 2 position",MKDS_1_2_3P5,MANUAL_THT_POST_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,10.000,88.000,0.000,PIN 1 MARKED; NOT KEYED - VERIFY RECEIVED ORIENTATION,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TERMINAL_SUPPORT_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,Phoenix Contact,1751264,"MKDS 1/4-3,5, 4 position",MKDS_1_4_3P5,MANUAL_THT_POST_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,10.000,14.000,0.000,PIN 1 MARKED; NOT KEYED - VERIFY RECEIVED ORIENTATION,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TERMINAL_SUPPORT_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,Panasonic Industry,ERJ6ENF9100V,"910 ohm, 1%, 0805, 0.125 W",Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,28.000,88.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,Panasonic Industry,ERJ6ENF1002V,"10.0 kohm, 1%, 0805, 0.125 W",Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,30.000,78.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,Panasonic Industry,ERJ6ENF1002V,"10.0 kohm, 1%, 0805, 0.125 W",Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,71.000,48.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,Panasonic Industry,ERJ6ENF1002V,"10.0 kohm, 1%, 0805, 0.125 W",Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,71.000,68.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,Panasonic Industry,ERJ6ENF5620V,"562 ohm, 1%, 0805",Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,89.000,53.500,-90.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,Panasonic Industry,ERJ6ENF5620V,"562 ohm, 1%, 0805",Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,89.000,58.500,-90.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,Panasonic Industry,ERJ6ENF1001V,"1.00 kohm, 1%, 0805",Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,71.000,44.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,Panasonic Industry,ERJ6ENF1001V,"1.00 kohm, 1%, 0805",Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,71.000,64.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,Vishay,MMA02040C1001FB300,"1.00 kohm, 1%, 0.4 W, MELF",Vishay_MMA0204_IPC_Reflow,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,105.000,50.000,180.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,Vishay,MMA02040C1001FB300,"1.00 kohm, 1%, 0.4 W, MELF",Vishay_MMA0204_IPC_Reflow,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,105.000,62.000,180.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,Vishay,CRCW12102K70FKEA,"2.70 kohm, 1%, 0.5 W, 1210",Vishay_CRCW1210_Reflow,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,116.000,50.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,Vishay,CRCW12102K70FKEA,"2.70 kohm, 1%, 0.5 W, 1210",Vishay_CRCW1210_Reflow,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,116.000,62.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,52.000,20.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
