requirement_id,review_state,parent_statement,child_requirement_register,closure_evidence,approval_effect,warning
SYS-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-V0 shall be a fixed bench-mounted mechanism with exactly two arm rotation axes and one gripper axis.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-V0 shall transfer one controlled soft foam object whose measured mass is no more than 100 g and whose three principal dimensions are each between 40 mm and 70 mm inclusive.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-003,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,Maximum shoulder-to-object reach shall not exceed 360 mm.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-004,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Automatic tool-center speed shall not exceed 0.15 m/s. The controller shall derive pose-dependent joint-rate limits from the commanded kinematics; the 30 deg/s joint cap is an additional ceiling and shall never be treated as sufficient enforcement of the tool-center limit.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-005,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Setup motion shall be hold-to-run and shall not exceed 10 deg/s.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-006,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The system shall operate indoors from 18 to 28 deg C in dry noncondensing conditions.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-001,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,A dual-channel emergency stop shall remove actuator power without relying on software.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-002,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,Releasing or resetting the emergency stop shall not initiate motion.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-003,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Any control-loss stop credited with reducing risk shall have a qualified ISO 12100 risk determination and a separately validated ISO 13849-1:2023 or IEC 62061 integrity allocation. The ordinary HR-V0 heartbeat controller relays drivers firmware and bus watchdog shall receive no safety credit; HR-30 and any HR-V0 configuration whose fixed guard cannot contain assumed watchdog failure shall select and validate a safety-rated control-loss architecture before motion release.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-004,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Fixed shielding and a controlled 600 mm exclusion boundary shall be present for powered V0 fixture tests.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
