record_type,record_id,domain,source_status,accountable_role_candidate,accountable_person,verification_id,acceptance_evidence,evidence_uri,approver_role_candidate,approver_person,decision,change_history,governance_state,warning
requirement,SYS-001,system,draft,systems_engineer,SELECTION REQUIRED,INSPECT-SYS-001,Inspection record,NOT EXECUTED,qualified_systems_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SYS-002,system,draft,systems_engineer,SELECTION REQUIRED,TEST-HAND-001,Completed 100-row handoff CSV summary CSV object pre/post record raw controller/fault/telemetry logs synchronized video fixture photographs calibration records deviation/nonconformance dispositions teardown inspection and signed qualified test report,NOT EXECUTED,qualified_systems_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SYS-003,system,draft,systems_engineer,SELECTION REQUIRED,INSPECT-MECH-001,Dimensioned inspection record,NOT EXECUTED,qualified_systems_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SYS-004,system,draft,systems_engineer,SELECTION REQUIRED,TEST-CTRL-001,Raw trajectories calculations and report,NOT EXECUTED,qualified_systems_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SYS-005,system,draft,systems_engineer,SELECTION REQUIRED,TEST-CTRL-002,Raw logs and report,NOT EXECUTED,qualified_systems_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SYS-006,system,draft,systems_engineer,SELECTION REQUIRED,TEST-ENV-001,Raw environmental and system logs,NOT EXECUTED,qualified_systems_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SAFE-001,safety,draft,functional_safety_engineer,SELECTION REQUIRED,TEST-SAFE-001,Raw timing traces and signed report,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SAFE-002,safety,draft,functional_safety_engineer,SELECTION REQUIRED,TEST-SAFE-001,Raw timing traces and signed report,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SAFE-003,safety,draft,functional_safety_engineer,SELECTION REQUIRED,ANALYSIS-SAFE-001,Completed signed allocation template risk worksheets reviewer competence and independence record controlled standard revisions and residual-risk disposition,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SAFE-004,safety,draft,functional_safety_engineer,SELECTION REQUIRED,INSPECT-SAFE-001,Pre-test inspection record,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SAFE-005,safety,draft,functional_safety_engineer,SELECTION REQUIRED,AUDIT-SAFE-001,Signed access audit,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SAFE-006,safety,draft,functional_safety_engineer,SELECTION REQUIRED,TEST-MECH-001,Raw load data inspection and report,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
requirement,SAFE-007,safety,draft,functional_safety_engineer,SELECTION REQUIRED,INSPECT-MECH-002,Inspection record with photos,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,NOT APPROVED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - ROLES CANDIDATE; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
