child_id,parent_id,sequence,level,child_statement,priority,verification_id,parent_procedure_evidence,parent_procedure_acceptance,child_acceptance_criterion_candidate,required_result_fields,child_acceptance_binding,internal_atomicity_screen,status,evidence_uri,accountable_person,approver_person,decision,warning
CFG-001-A01,CFG-001,1,configuration,Each test record shall identify the controlled CAD revision.,MUST,AUDIT-CFG-001,Completed audit checklist and configuration snapshot,All required revisions and hashes are present and match,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled CAD revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A02,CFG-001,2,configuration,Each test record shall identify the controlled wiring revision.,MUST,AUDIT-CFG-001,Completed audit checklist and configuration snapshot,All required revisions and hashes are present and match,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled wiring revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A03,CFG-001,3,configuration,Each test record shall identify the controlled firmware revision.,MUST,AUDIT-CFG-001,Completed audit checklist and configuration snapshot,All required revisions and hashes are present and match,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled firmware revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A04,CFG-001,4,configuration,Each test record shall identify the controlled calibration revision.,MUST,AUDIT-CFG-001,Completed audit checklist and configuration snapshot,All required revisions and hashes are present and match,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled calibration revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A05,CFG-001,5,configuration,Each test record shall identify the received actuator configuration revision.,MUST,AUDIT-CFG-001,Completed audit checklist and configuration snapshot,All required revisions and hashes are present and match,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the received actuator configuration revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A06,CFG-001,6,configuration,Each test record shall identify the controlled BOM revision.,MUST,AUDIT-CFG-001,Completed audit checklist and configuration snapshot,All required revisions and hashes are present and match,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled BOM revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A01,CFG-002,1,configuration,A configuration mismatch shall inhibit drive enable.,MUST,TEST-CFG-002,Raw logs and signed report,Every mismatch inhibits drive and latches a recorded fault,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: A configuration mismatch shall inhibit drive enable.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A02,CFG-002,2,configuration,A calibration mismatch shall inhibit drive enable.,MUST,TEST-CFG-002,Raw logs and signed report,Every mismatch inhibits drive and latches a recorded fault,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: A calibration mismatch shall inhibit drive enable.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A03,CFG-002,3,configuration,A polarity mismatch shall inhibit drive enable.,MUST,TEST-CFG-002,Raw logs and signed report,Every mismatch inhibits drive and latches a recorded fault,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: A polarity mismatch shall inhibit drive enable.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A04,CFG-002,4,configuration,A mirrored-joint mismatch shall inhibit drive enable.,MUST,TEST-CFG-002,Raw logs and signed report,Every mismatch inhibits drive and latches a recorded fault,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: A mirrored-joint mismatch shall inhibit drive enable.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
