child_id,parent_id,verification_id,procedure_revision,configuration_id,observed_value_or_state,acceptance_limit,result_PASS_or_FAIL,evidence_uri,executor,timestamp,reviewer,decision,warning
CFG-001-A01,CFG-001,AUDIT-CFG-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled CAD revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A02,CFG-001,AUDIT-CFG-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled wiring revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A03,CFG-001,AUDIT-CFG-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled firmware revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A04,CFG-001,AUDIT-CFG-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled calibration revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A05,CFG-001,AUDIT-CFG-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the received actuator configuration revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A06,CFG-001,AUDIT-CFG-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-CFG-001 configuration-bound evidence demonstrates: Each test record shall identify the controlled BOM revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A01,CFG-002,TEST-CFG-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: A configuration mismatch shall inhibit drive enable.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A02,CFG-002,TEST-CFG-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: A calibration mismatch shall inhibit drive enable.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A03,CFG-002,TEST-CFG-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: A polarity mismatch shall inhibit drive enable.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A04,CFG-002,TEST-CFG-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: A mirrored-joint mismatch shall inhibit drive enable.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
