child_id,parent_id,normative_clause_count,semicolon_count,acceptance_criterion_present,result_fields_present,internal_disposition,approval_effect,warning
CFG-001-A01,CFG-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A02,CFG-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A03,CFG-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A04,CFG-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A05,CFG-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001-A06,CFG-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A01,CFG-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A02,CFG-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A03,CFG-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A04,CFG-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002-A05,CFG-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A01,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A02,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A03,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A04,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A05,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A06,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A07,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A08,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A09,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A10,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A11,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A12,CFG-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A01,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A02,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A03,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A04,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
