reference,terminal,pin_name,net,status
JC1,1,GND,ACT_0V_PE_BONDED,PROPOSED - TWO-WIRE CABLE TEST REQUIRED
JC1,2,VDD OMITTED,INTENTIONALLY_UNUSED_U2D2_VDD,PROPOSED - TWO-WIRE CABLE TEST REQUIRED
JC1,3,DATA,DXL_TTL_DATA,PROPOSED - TWO-WIRE CABLE TEST REQUIRED
JP1,1,J1 FUSED VDD,J1_VDD,PROPOSED - WIRE/THERMAL TEST REQUIRED
JP1,2,COMMON RETURN,ACT_0V_PE_BONDED,PROPOSED - WIRE/THERMAL TEST REQUIRED
JA1,1,GND,ACT_0V_PE_BONDED,PROPOSED - CABLE/LIMIT TEST REQUIRED
JA1,2,J1 VDD,J1_VDD,PROPOSED - CABLE/LIMIT TEST REQUIRED
JA1,3,DATA,DXL_TTL_DATA,PROPOSED - CABLE/LIMIT TEST REQUIRED
JP2,1,J2 FUSED VDD,J2_VDD,PROPOSED - WIRE/THERMAL TEST REQUIRED
JP2,2,COMMON RETURN,ACT_0V_PE_BONDED,PROPOSED - WIRE/THERMAL TEST REQUIRED
JA2,1,GND,ACT_0V_PE_BONDED,PROPOSED - CABLE/LIMIT TEST REQUIRED
JA2,2,J2 VDD,J2_VDD,PROPOSED - CABLE/LIMIT TEST REQUIRED
JA2,3,DATA,DXL_TTL_DATA,PROPOSED - CABLE/LIMIT TEST REQUIRED
JP3,1,J3 FUSED VDD,J3_VDD,PROPOSED - WIRE/THERMAL TEST REQUIRED
JP3,2,COMMON RETURN,ACT_0V_PE_BONDED,PROPOSED - WIRE/THERMAL TEST REQUIRED
JA3,1,GND,ACT_0V_PE_BONDED,PROPOSED - CABLE/LIMIT TEST REQUIRED
JA3,2,J3 VDD,J3_VDD,PROPOSED - CABLE/LIMIT TEST REQUIRED
JA3,3,DATA,DXL_TTL_DATA,PROPOSED - CABLE/LIMIT TEST REQUIRED
