package_status,wire_number,net,endpoint_count,endpoints
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2001,AC_L_PS1,3,QF1:TBD-O(LINE_OUT)@01_ac_pe_power | PS1:1(AC/L)@01_ac_pe_power | TBAC1:TBD-L1(PS1_LINE)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2002,AC_L_PS2,3,QF2:TBD-O(LINE_OUT)@01_ac_pe_power | PS2:4(AC/L)@01_ac_pe_power | TBAC1:TBD-L2(PS2_LINE)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2003,AC_L_PS3,3,QF3:TBD-O(LINE_OUT)@01_ac_pe_power | PS3:TBD-L(AC_LINE)@01_ac_pe_power | TBAC1:TBD-L3(PS3_LINE)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2004,AC_L_RAW,2,JAC1:TBD-L(LINE)@01_ac_pe_power | Q0:TBD-LI(LINE_IN)@01_ac_pe_power
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2005,AC_L_SWITCHED,5,Q0:TBD-LO(LINE_OUT)@01_ac_pe_power | QF1:TBD-I(LINE_IN)@01_ac_pe_power | QF2:TBD-I(LINE_IN)@01_ac_pe_power | QF3:TBD-I(LINE_IN)@01_ac_pe_power | TBAC1:TBD-LI(LINE_IN)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2006,AC_N_RAW,2,JAC1:TBD-N(NEUTRAL)@01_ac_pe_power | Q0:TBD-NI(NEUTRAL_IN)@01_ac_pe_power
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2007,AC_N_SWITCHED,5,Q0:TBD-NO(NEUTRAL_OUT)@01_ac_pe_power | PS1:2(AC/N)@01_ac_pe_power | PS2:3(AC/N)@01_ac_pe_power | PS3:TBD-N(AC_NEUTRAL)@01_ac_pe_power | TBAC1:TBD-NI(NEUTRAL_IN)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2008,BAT_CHARGE_NEG,2,BAT1:TBD-C-(CHARGE_NEG)@05_hr30_battery_precharge | CHG1:TBD-P-(PACK_CHARGE_NEG)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2009,BAT_CHARGE_POS,2,BAT1:TBD-C+(CHARGE_POS)@05_hr30_battery_precharge | CHG1:TBD-P+(PACK_CHARGE_POS)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2010,BAT_DISCONNECTED_POS,3,SD1:TBD-O(OUT)@05_hr30_battery_precharge | KB1:TBD-L(LINE)@05_hr30_battery_precharge | KP1:TBD-L(LINE)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2011,BAT_FUSED_POS,2,FBAT1:TBD-O(OUT)@05_hr30_battery_precharge | SD1:TBD-I(IN)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2012,BAT_MAIN_COIL,2,KB1:TBD-A1(COIL_POS)@05_hr30_battery_precharge | BCU1:TBD-KM(MAIN_COIL)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2013,BAT_MAIN_MIRROR_A,2,KB1:TBD-M1(MIRROR_A)@05_hr30_battery_precharge | BCU1:TBD-MA(MAIN_MIRROR_A)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2014,BAT_MAIN_MIRROR_B,2,KB1:TBD-M2(MIRROR_B)@05_hr30_battery_precharge | BCU1:TBD-MB(MAIN_MIRROR_B)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2015,BAT_PACK_POS,2,BAT1:TBD-P+(PACK_POS)@05_hr30_battery_precharge | FBAT1:TBD-I(IN)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2016,BAT_PRECHARGE_COIL,2,KP1:TBD-A1(COIL_POS)@05_hr30_battery_precharge | BCU1:TBD-KP(PRECHARGE_COIL)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2017,BAT_PRECHARGE_R_IN,2,KP1:TBD-T(LOAD)@05_hr30_battery_precharge | RP1:TBD-1(IN)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2018,BAT_TELEMETRY,2,BAT1:TBD-TLM(TELEMETRY)@05_hr30_battery_precharge | TLM1:TBD-IN(PACK_DATA)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2019,BAT_TELEMETRY_LOGIC,2,RT1:TBD-BAT(BATTERY_TELEMETRY)@04_control_watchdog | TLM1:TBD-OUT(ISOLATED_DATA)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2020,CHARGER_NEG_RAW,2,JCHG1:TBD-C-(CHARGE_NEG)@05_hr30_battery_precharge | CHG1:TBD-I-(INPUT_NEG)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2021,CHARGER_POS_RAW,2,JCHG1:TBD-C+(CHARGE_POS)@05_hr30_battery_precharge | CHG1:TBD-I+(INPUT_POS)@05_hr30_battery_precharge
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2022,CHARGE_PRESENT,4,JCHG1:TBD-P(PRESENT)@05_hr30_battery_precharge | CHG1:TBD-ILK(INTERLOCK)@05_hr30_battery_precharge | BCU1:TBD-CHG(CHARGE_PRESENT)@05_hr30_battery_precharge | SRCSEL1:TBD-I(CHARGE_INHIBIT)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2023,COMPUTE_0V,15,PS3:USB-C-RET(USB_0V)@01_ac_pe_power | SP1:TBD-COMP(COMPUTE_RETURN)@01_ac_pe_power | PI1:USB-C-0V(0V)@04_control_watchdog | RT1:TBD-RET(RETURN)@04_control_watchdog | WD1:TBD-RET(RETURN)@04_control_watchdog | QWD1:TBD-L0(LOGIC_RETURN)@04_control_watchdog | WDH1:TBD-RET(RETURN)@04_control_watchdog | QWDH1:TBD-L0(LOGIC_RETURN)@04_control_watchdog | ISO1:TBD-L0(LOGIC_RETURN)@04_control_watchdog | TLM1:TBD-L0(LOGIC_RETURN)@05_hr30_battery_precharge | BCU1:TBD-0V(RETURN)@05_hr30_battery_precharge | XCVRL1:TBD-0V(LOGIC_RETURN)@07_left_leg_rs485 | XCVRR1:TBD-0V(LOGIC_RETURN)@08_right_leg_rs485 | ADC1:TBD-DGND(DIGITAL_RETURN)@12_sensor_adc_imu | ADC2:TBD-DGND(DIGITAL_RETURN)@12_sensor_adc_imu
