package_status,sheet,reference,pin_or_terminal,pin_name,net,wire_number,note
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,JAC1,TBD-L,LINE,AC_L_RAW,W2004,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,JAC1,TBD-N,NEUTRAL,AC_N_RAW,W2006,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,JAC1,TBD-PE,PROTECTIVE_EARTH,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,Q0,TBD-LI,LINE_IN,AC_L_RAW,W2004,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,Q0,TBD-NI,NEUTRAL_IN,AC_N_RAW,W2006,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,Q0,TBD-LO,LINE_OUT,AC_L_SWITCHED,W2005,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,Q0,TBD-NO,NEUTRAL_OUT,AC_N_SWITCHED,W2007,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF1,TBD-I,LINE_IN,AC_L_SWITCHED,W2005,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF1,TBD-O,LINE_OUT,AC_L_PS1,W2001,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF2,TBD-I,LINE_IN,AC_L_SWITCHED,W2005,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF2,TBD-O,LINE_OUT,AC_L_PS2,W2002,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF3,TBD-I,LINE_IN,AC_L_SWITCHED,W2005,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF3,TBD-O,LINE_OUT,AC_L_PS3,W2003,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,1,AC/L,AC_L_PS1,W2001,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,2,AC/N,AC_N_SWITCHED,W2007,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,3,FG,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,4,-V,V0_0V,W2142,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,5,-V,V0_0V,W2142,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,6,-V,V0_0V,W2142,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,7,+V,V0_12V_RAW,W2144,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,8,+V,V0_12V_RAW,W2144,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,9,+V,V0_12V_RAW,W2144,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS2,1,-V,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS2,2,+V,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS2,3,AC/N,AC_N_SWITCHED,W2007,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS2,4,AC/L,AC_L_PS2,W2002,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS3,TBD-L,AC_LINE,AC_L_PS3,W2003,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS3,TBD-N,AC_NEUTRAL,AC_N_SWITCHED,W2007,
