package_status,reference_example,device,primary_source_url,document_revision_or_review_record
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,PS1,Mean Well LRS-350-12,https://www.meanwell.com/Upload/PDF/LRS-350/LRS-350-SPEC.PDF,"Mean Well LRS-350 specification file revision 2025-09-12, pp. 2-4, and Enclosed-Type Installation Manual dated 2025-12-17, pp. 4-5; verified 2026-08-05 and recheck at release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,PS2,Mean Well HDR-30-24,https://www.meanwell.com/Upload/PDF/HDR-30/HDR-30-SPEC.PDF,"Mean Well HDR-30 specification, rev/date recorded in source register; recheck at release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,PS3,Raspberry Pi 27 W USB-C supply,https://www.raspberrypi.com/products/27w-power-supply/,Official Raspberry Pi product information; regional variant selection required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,S0/SH0,IDEC XW emergency-stop family candidate and supporting files,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,Candidate page and supporting PDFs accessed 2026-08-05; supporting-file listing last updated 2024-06-24; exact complete order code remains SELECTION REQUIRED
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,SRH1,"Pilz PNOZ s4 24 VDC, 750104 - PROPOSED CHANGE",https://www.pilz.com/en-INT/eshop/product/750104,"Pilz PNOZ s4 operating manual 21396-EN-23: pp. 8-16 topology/mode, p.19 status, and p.26 timing; product file 2026-06-22, PDF colophon 2026-02; verified 2026-08-05."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,K2,Schneider LC1D25BD,https://iportal2.schneider-electric.com/Contents/docs/SQD-LC1D25BD.PDF,"Schneider official product data reviewed 2026-08-05. DC make/break, capacitive inrush, and protection coordination remain open."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,KWH1,Phoenix Contact PLC-RSC-24DC/21,https://www.phoenixcontact.com/en-gb/products/relay-module-plc-rsc-24dc21-2966171,Phoenix Contact product 2966171 reviewed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,M43,"ROBOTIS XM540-W270-T right elbow, provisional ID 43",https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,M45,"ROBOTIS XM430-W350-T right gripper, provisional ID 45",https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,UB1,ROBOTIS U2D2 - upper bus B,https://docs.robotis.com/docs/parts/interface/u2d2/,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,PI1,Raspberry Pi 5 8GB high-level compute,https://www.raspberrypi.com/products/raspberry-pi-5/,Official Raspberry Pi product page; board-level integration and connector assignments remain open
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,MR6,"ROBOTIS XH540-W270-R right ankle roll, provisional ID 26",https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,M53,"ROBOTIS XC430-W240-T head tilt, provisional ID 53",https://emanual.robotis.com/docs/en/dxl/x/xc430-w240/,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,ADC2,TI ADS131M04 right foot ADC - proposed device,https://www.ti.com/lit/ds/symlink/ads131m04.pdf,"TI ADS131M04 datasheet Rev D, May 2021; functional net names only until package selection"
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,IMU2,Bosch BMI088 torso IMU - proposed device,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi088-ds001.pdf,"Bosch BMI088 datasheet Rev 1.9, January 2024; functional interface only"
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,SR1/SRH1,Pilz PNOZ s4 operating manual 21396-EN-23,https://www.pilz.com/download/open/OM_PNOZ_s4_21396-EN-23.pdf,Product listing 2026-06-22; PDF metadata 2026-06-17; colophon 2026-02; SHA-256 4B6E4768CEFAEDAF54F006347D32A8A04964B59A16F3616D8AC43698D3626BB4; verified 2026-08-05
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,PS1,Mean Well Enclosed-Type Installation Manual,https://www.meanwell.com/Upload/PDF/Enclosed_Type_EN.pdf,"Document dated 2025-12-17, pp. 4-5; verified 2026-08-05; generic installation guidance only"
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,PHB-NOT-IN-POWER-PATH,ROBOTIS U2D2 Power Hub Board,https://docs.robotis.com/docs/parts/interface/u2d2_power_hub/,"Current HTML accessed 2026-08-05: 3.5-24.0 V, 10.0 A maximum, use only one power input"
