source_relative_path,sha256,bytes
"01_ac_pe_power.kicad_sch","531c8f2cac2c32da4e2b3f7cec990885b9bc0d05dc014f889f20039c373b6c70",74504
"02_hrv0_safety.kicad_sch","82628ba544ffa5191d61c2f67a1e03e8be47f9c18a7fa0dcae786631af85400b",79011
"03_hrv0_distribution.kicad_sch","a4c865f199011ff91c74f97272d3f50372a17d4349c8c66746e14746680d3cda",48430
"04_control_watchdog.kicad_sch","537bafe798470227ef498d762b532088422fcdac3ded73d4a78813c7e7c00b83",81953
"05_hr30_battery_precharge.kicad_sch","39fdfb5376abf46cfee6b48aa53ee4ca33346a7e6d2a1f7b6ae008fbb60e77e3",81424
"06_hr30_safety_distribution.kicad_sch","06607f322329dba31633249ffd8d35b67d859bd15274113c9098b1bc80019dcf",110267
"07_left_leg_rs485.kicad_sch","fd18f2f77108a2ebc78a7b27986246c157519bab8b53945511fa3abe5b13262d",100432
"08_right_leg_rs485.kicad_sch","844a919dd37462210b2c8393d8d85fcc42dfd0d2ce531c2600c2a76b91026be3",100525
"09_upper_bus_a.kicad_sch","5168574a78500f3f4c30a95f1344a7ab451dbd5dfed0b1f27586a8375d7ee601",101687
"10_upper_bus_b.kicad_sch","e4911d395e1ab75eb0f7a4ed89ce154008b9cad996876e86d1e2ca3ec16e26c5",67098
"11_sensors_sync.kicad_sch","b0d0f74431e0b9b022295f52e0ea5886825014f2451b1bcb323eb840181edc0f",60049
"12_sensor_adc_imu.kicad_sch","b37950203e0ce8ecaabb973b1f419104ddf9375a8e104da818f9fb9d5ae1ba85",65511
"13_sensor_afe.kicad_sch","f8ff187bfe4a6f06e481c3e98bf1d284301cd03a845c032faeb4c9593f26c897",23422
"14_harness_terminals.kicad_sch","8afc6b85b7c9d7431d34cd5e878cae9a3f02f59d3881f5da253f1ffb608b53e9",98514
"2026-08-05-v2.1-electrical-correction-review.md","b151e8fc6fa02de8e2c68d09a414a5e9d0081bd7b2c1f11babbb9453e6817b3b",15233
"bom.csv","6cedf05abe5b8736f3fe0a8afb43ab1820ab5fa6b2de18e06d812dcc2b29dd8d",53182
"connector-schedule.csv","277c3bc6fdf20c44b8105c618fca9c60148b7c3fdefca65c7ebb99e6485efe29",44407
"DESIGN-BASIS.md","8c1a62b1ef4efdf7e613e2e2736379d06ce17a7de5db14f209171470efd55043",8989
"engineering-inputs-required.csv","0b6754e0ec9fccee5fa024e55e7c5400136b14ce2f791a95cbcc803755f6897b",2795
"netlist-schedule.csv","344eeb4b0cdec365286f72d966e6fedcf0f8bdfc45599e4e9f39d5112c2fcde4",60820
"output/pdf/project-button-electrical-v2-preliminary.pdf","0b2ad491e0e5a000cba880e221eb0afa046a37665ae74080931421fa2008905c",673908
