package_status,sheet,reference,device,selection_status,terminal,function,net,evidence
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,JAC1,AC inlet,SELECTION REQUIRED,TBD-L,LINE,AC_L_RAW,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,JAC1,AC inlet,SELECTION REQUIRED,TBD-N,NEUTRAL,AC_N_RAW,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,JAC1,AC inlet,SELECTION REQUIRED,TBD-PE,PROTECTIVE_EARTH,PE,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M1,"ROBOTIS XM540-W270-T shoulder, provisional ID 1",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,V0_0V,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M1,"ROBOTIS XM540-W270-T shoulder, provisional ID 1",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,V0_BRANCH_SHOULDER,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M1,"ROBOTIS XM540-W270-T shoulder, provisional ID 1",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,V0_TTL_DATA,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M2,"ROBOTIS XM540-W270-T elbow, provisional ID 2",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,V0_0V,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M2,"ROBOTIS XM540-W270-T elbow, provisional ID 2",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,V0_BRANCH_ELBOW,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M2,"ROBOTIS XM540-W270-T elbow, provisional ID 2",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,V0_TTL_DATA,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M3,"ROBOTIS XM430-W350-T gripper, provisional ID 3",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,V0_0V,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
