package_status,sheet,reference,item,unresolved_reason,evidence_required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,JAC1,AC inlet,"Regional inlet, cord retention, ingress protection, and terminals are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,Q0,Two-pole main disconnect,"Disconnect rating, poles, fault rating, and jurisdiction are unresolved. PE bypasses Q0.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF1,PS1 AC branch protection,"Rating and curve require prospective fault current plus the unpublished LRS-350 inrush maximum, duration, waveform, T50, and I-squared-t. Typical inrush alone is insufficient.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF2,PS2 AC branch protection,Rating and curve require prospective fault current and inrush coordination.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF3,PS3 AC branch protection,Regional compute-supply branch protection and inlet arrangement are unresolved.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS3,Raspberry Pi 27 W USB-C supply,"Regional order code, receptacle, and AC integration are unresolved; USB-C is a functional interface, not a pin-level cable drawing.",Official Raspberry Pi product information; regional variant selection required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PETB1,Protective-earth distribution block,"Terminal block, bonding studs, conductor sizes, and continuity-test points are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,SP1,Removable single-point DC 0 V / PE bond assembly,DEFAULT OPEN. Populate only the single reviewed link; do not bridge all return domains by assumption.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S0,Dual-NC positively-opening E-stop,"IDEC XW dual-NC is a family candidate only. Freeze the exact complete order code, operator/reset/contact/cover/environment details, attach the exact bottom-view drawing, and continuity-test the received unit before replacing TBD terminals.",IDEC XW candidate page and family catalogs reviewed 2026-08-05; exact order code and device drawing remain SELECTION REQUIRED
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S1,Momentary NO reset pushbutton,Exact normally-open contact and terminal identifiers are unresolved. Locate outside swept envelope.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,FSR1,PNOZ output-contact protection,"Pilz manual p.11 requires output-contact protection. Published maxima are not selections; coordinate the exact protection with coil inrush, conductor, PS2 behavior, and fault current.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SK1,K1 DC-coil suppression network,"Select per Pilz and Schneider instructions. Exact device, polarity, energy rating, fault behavior, and effect on dropout/stopping time require review and test.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SK2,K2 DC-coil suppression network,"Select per Pilz and Schneider instructions. Exact device, polarity, energy rating, fault behavior, and effect on dropout/stopping time require review and test.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F0,HR-V0 main DC fuse,"Rating, holder, interrupt rating, conductor protection, and clearing coordination are unresolved.",Manufacturer datasheet and engineering inputs required
