package_status,sheet,reference,value,selection_status,datasheet,evidence,description
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,JAC1,AC inlet,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Regional inlet, cord retention, ingress protection, and terminals are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,Q0,Two-pole main disconnect,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Disconnect rating, poles, fault rating, and jurisdiction are unresolved. PE bypasses Q0."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF1,PS1 AC branch protection,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Rating and curve require prospective fault current plus the unpublished LRS-350 inrush maximum, duration, waveform, T50, and I-squared-t. Typical inrush alone is insufficient."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF2,PS2 AC branch protection,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Rating and curve require prospective fault current and inrush coordination.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,QF3,PS3 AC branch protection,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Regional compute-supply branch protection and inlet arrangement are unresolved.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS1,Mean Well LRS-350-12,PROPOSED - PRIMARY SOURCE RECORDED,https://www.meanwell.com/Upload/PDF/LRS-350/LRS-350-SPEC.PDF,"Mean Well LRS-350 specification file revision 2025-09-12, pp. 2-4, and Enclosed-Type Installation Manual dated 2025-12-17, pp. 4-5; verified 2026-08-05 and recheck at release.","12 V / 29 A candidate. Overload threshold is 110-140% rated power with hiccup recovery; 150% peak is allowed no more than 1 s. Cold-start inrush is 60 A typical at 115/230 VAC, with no published maximum or duration. No protection or conductor value is released."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS2,Mean Well HDR-30-24,PROPOSED - PRIMARY SOURCE RECORDED,https://www.meanwell.com/Upload/PDF/HDR-30/HDR-30-SPEC.PDF,"Mean Well HDR-30 specification, rev/date recorded in source register; recheck at release.",24 V / 1.5 A candidate. Pulse-load calculation and bench validation remain open.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS3,Raspberry Pi 27 W USB-C supply,SELECTION REQUIRED,https://www.raspberrypi.com/products/27w-power-supply/,Official Raspberry Pi product information; regional variant selection required,"Regional order code, receptacle, and AC integration are unresolved; USB-C is a functional interface, not a pin-level cable drawing."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PETB1,Protective-earth distribution block,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Terminal block, bonding studs, conductor sizes, and continuity-test points are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,SP1,Removable single-point DC 0 V / PE bond assembly,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,DEFAULT OPEN. Populate only the single reviewed link; do not bridge all return domains by assumption.
