control_id,part_id_or_interface,source_table,source_row,drawing_path_or_paths,coverage_class,evidence,physical_execution_state,fabrication_authorized,warning
ADP-001,MV0-C01,adapter-drawing-controls.csv,2,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-002,MV0-C01,adapter-drawing-controls.csv,3,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-003,MV0-C01,adapter-drawing-controls.csv,4,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-004,MV0-C01,adapter-drawing-controls.csv,5,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-005,MV0-C01,adapter-drawing-controls.csv,6,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-006,MV0-C01,adapter-drawing-controls.csv,7,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-007,MV0-C01,adapter-drawing-controls.csv,8,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-008,MV0-C01,adapter-drawing-controls.csv,9,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-009,MV0-C01,adapter-drawing-controls.csv,10,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
ADP-010,MV0-C01,adapter-drawing-controls.csv,11,cad/hr-v0/generated/mechanical-drawing-p0.1/drawings/MV0-C01_conventional-drawing_P0.1.svg,DRAWING_EXPLICIT,numeric/qualitative control printed on the conventional candidate drawing; exact geometry remains hash-bound to drawing + DXF + STEP,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
