instrument_id,role,manufacturer,model,order_code,quantity,acquisition,verified_capability,calibration_state,connection_state,warning
INS-01,synchronized acquisition chassis,NI,cDAQ-9174,781157-01,1,BORROW/RENT PREFERRED; PURCHASE NOT RELEASED,4-slot USB chassis; 12.5 ns timing resolution; 50 ppm sample-rate timing accuracy; 9-30 V input; 15 W max; 159.5 x 88.1 x 58.9 mm,CHASSIS ID/SELF-TEST/SOFTWARE VERSION RECORD REQUIRED,NOT CONNECTED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-02,isolated simultaneous voltage bank A,NI,NI-9229 screw terminal,779785-01,1,BORROW/RENT PREFERRED; PURCHASE NOT RELEASED,4 simultaneous 24-bit differential channels; nominal +/-60 V; 50 kS/s/channel; channel-to-channel isolation,CURRENT CALIBRATION CERTIFICATE AND SELF-TEST REQUIRED,NOT CONNECTED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-03,isolated simultaneous voltage bank B,NI,NI-9229 screw terminal,779785-01,1,BORROW/RENT PREFERRED; PURCHASE NOT RELEASED,4 simultaneous 24-bit differential channels; nominal +/-60 V; 50 kS/s/channel; channel-to-channel isolation,CURRENT CALIBRATION CERTIFICATE AND SELF-TEST REQUIRED,NOT CONNECTED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-04,contact-temperature acquisition,NI,NI-9211,779001-01,1,BORROW/RENT PREFERRED; PURCHASE NOT RELEASED,4 thermocouple channels; 24-bit; 14 S/s class; cold-junction compensation; 1-year calibration interval,CURRENT CALIBRATION CERTIFICATE; ICE-POINT/REFERENCE CHECK REQUIRED,NOT CONNECTED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-05,reserved digital event capture,NI,NI-9401,779351-01,1,BORROW/RENT PREFERRED; PURCHASE NOT RELEASED,8 bidirectional 5 V TTL channels; 100 ns propagation; no channel-to-channel isolation,SELF-TEST AND KNOWN-PULSE CHECK REQUIRED,PROHIBITED UNTIL ISOLATED 24 V-TO-TTL INTERFACE IS SELECTED/VERIFIED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-06,whole-rail AC/DC current transient,Tektronix,TCP0150,TCP0150,1,BORROW/RENT; PURCHASE NOT RELEASED,25 A and 150 A ranges; 150 A RMS max; 500 A peak pulse; DC-20 MHz; 3% warranted DC accuracy; TekVPI required,IN-DATE CALIBRATION; DEGAUSS/AUTOZERO BEFORE EACH SESSION,NOT CLAMPED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-07,current/timing oscilloscope,Tektronix,3 Series MDO / MDO34 family,CONFIGURATION/QUOTE REQUIRED,1,BORROW/RENT; PURCHASE NOT RELEASED,manufacturer lists 3 Series MDO as fully compatible with TCP0150 on analog inputs,EXACT SERIAL/OPTIONS/FIRMWARE/CALIBRATION CERTIFICATE REQUIRED,NOT CONNECTED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-08,setup/polarity/reference DMM,Fluke,87V MAX CAL,5206068,1,PURCHASE/BORROW CANDIDATE; NOT RELEASED,"traceable calibration with data; DC voltage 0.1 mV-1000 V; +/-0.05% + 1; DC current 10 A, 20 A for 30 s only",TRACEABLE CERTIFICATE/EXPIRY AND PRE-USE CHECK REQUIRED,WHOLE-RAIL CURRENT JACK USE PROHIBITED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-09,thermal survey camera,Teledyne FLIR,E8 Pro,QUOTE/REGION SKU REQUIRED,1,BORROW/RENT PREFERRED; PURCHASE NOT RELEASED,320 x 240 IR; 9 Hz; -20 to 550 C; +/-2 C or +/-2% under stated conditions,SERIAL/FIRMWARE/CALIBRATION STATUS; EMISSIVITY/REFLECTED-TEMP SETUP REQUIRED,NON-CONTACT ONLY,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
INS-10,visual event record,SELECTION REQUIRED,tripod camera with manual exposure and visible time slate,SELECTION REQUIRED,2,EXISTING EQUIPMENT PREFERRED,CORRELATION AID ONLY; NOT CALIBRATED TIMING EVIDENCE,CLOCK SLATE/FRAME-RATE/FILE CHECK REQUIRED,NOT INSTALLED,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
