channel_id,hardware_channel,signal_or_target,measurement_point,measurement,range,sample_rate,required_stages,physical_point_released,calibration_evidence_present,warning
CH-AI-01,INS-02/AI0,ACT_MAIN_SOURCE_12V,source output before interruption,differential voltage,+/-60 V,50 kS/s,E0-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,INS-02/AI1,ACT_MAIN_SAFE_12V,robot inlet after dual interruption,differential voltage,+/-60 V,50 kS/s,E0-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,INS-02/AI2,TTL_LDIST_SAFE_9V,left distal regulated 9 V rail,differential voltage,+/-60 V,50 kS/s,E2-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,INS-02/AI3,CTRL_5V,logic/control rail,differential voltage,+/-60 V,50 kS/s,E1-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,INS-03/AI0,ESTOP_CH_A_24V,E-stop channel A diagnostic voltage,differential voltage,+/-60 V,50 kS/s,E3-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,INS-03/AI1,HARDWIRED_PERMIT_24V,PNOZ hardwired permit status,differential voltage,+/-60 V,50 kS/s,E3-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,INS-03/AI2,K1_COIL_24V,K1 A1-to-A2 coil voltage,differential voltage,+/-60 V,50 kS/s,E3-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,INS-03/AI3,K2_COIL_24V,K2 A1-to-A2 coil voltage,differential voltage,+/-60 V,50 kS/s,E3-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-TC-01,INS-04/TC0,T_SOURCE_CONNECTOR,external source/connector hotspot,type-K temperature,PROBE SELECTION REQUIRED,14 S/s class,E2-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-TC-02,INS-04/TC1,T_CONTACTOR_PAIR,dual-interruption assembly hotspot,type-K temperature,PROBE SELECTION REQUIRED,14 S/s class,E3-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-TC-03,INS-04/TC2,T_SELECTED_BRANCH,selected branch/protection hotspot,type-K temperature,PROBE SELECTION REQUIRED,14 S/s class,E4-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-TC-04,INS-04/TC3,T_SELECTED_ACTUATOR,selected actuator case/connector,type-K temperature,PROBE SELECTION REQUIRED,14 S/s class,E5-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-I-01,INS-06 + INS-07/CH1,ACT_MAIN_SOURCE_CONDUCTOR,clamp around one source conductor only,AC/DC current,150 A range for initial whole-body rail,scope >=1 MS/s candidate,E2-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-SCOPE-02,INS-07/CH2,ACT_MAIN_SAFE_12V_COPY,isolated voltage-probe interface selection required,voltage transient,PROBE SELECTION REQUIRED,scope >=1 MS/s candidate,E2-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-DIO-01,INS-05/DIO0,TIME_ZERO_BATTERY_TTL,independent battery-slate event pulse,5 V TTL,0-5.25 V max,hardware timed,E0-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-VIDEO-01,INS-10/A,CELL_OVERVIEW,doors/operator/robot/cell,video correlation,N/A,>=30 fps candidate,E0-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-VIDEO-02,INS-10/B,PDU_CLOSEUP,source/interruption/instruments,video correlation,N/A,>=30 fps candidate,E0-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-IR-01,INS-09,THERMAL_OVERVIEW,selected electrical/mechanical region,radiometric image,-20 to 550 C,9 Hz,E2-E7,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
