item_id,representation,xmin_mm,xmax_mm,ymin_mm,ymax_mm,zmin_mm,zmax_mm,manufacturing_source,warning
BENCH_BASE,PROJECT BENCH GEOMETRY,-450.0,450.0,-300.0,300.0,-0.0,30.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
BACK_PANEL,PROJECT BENCH GEOMETRY,-450.0,450.0,270.0,300.0,30.0,530.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CABLE_RAIL_A,PROJECT BENCH GEOMETRY,-430.0,0.0,232.5,267.5,190.0,210.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CABLE_RAIL_B,PROJECT BENCH GEOMETRY,20.0,450.0,232.5,267.5,190.0,210.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CDAQ_9174,INSTRUMENT INTERFACE ENVELOPE ONLY,-350.0,-190.0,180.0,270.0,300.0,360.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MDO34_SCOPE,INSTRUMENT INTERFACE ENVELOPE ONLY,-120.0,240.0,125.0,285.0,245.0,455.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
FLUKE_87VMAX,INSTRUMENT INTERFACE ENVELOPE ONLY,277.5,382.5,97.5,162.5,15.0,235.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
TCP0150_CLAMP,INSTRUMENT INTERFACE ENVELOPE ONLY,-315.0,-224.944,128.944,185.0,25.0,195.042,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
FLIR_E8_PRO,INSTRUMENT INTERFACE ENVELOPE ONLY,-430.0,-290.0,-162.5,-62.5,-65.0,247.5,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
VIDEO_A,INSTRUMENT INTERFACE ENVELOPE ONLY,-225.0,-115.0,-270.0,-190.0,30.0,110.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
VIDEO_B,INSTRUMENT INTERFACE ENVELOPE ONLY,115.0,225.0,-270.0,-190.0,30.0,110.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
TERMINAL_GUARD,PROJECT BENCH GEOMETRY,-250.0,250.0,-0.0,120.0,15.0,75.0,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
E_STOP_REPEATER_ENVELOPE,INSTRUMENT INTERFACE ENVELOPE ONLY,342.0,418.047,-258.035,-181.965,42.453,87.547,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
