item_id,item,manufacturer,candidate_part_or_family,quantity,selection_state,procurement_released,warning
CELL-B01,40 x 40 mm T-slot frame members,80/20,40-4040-Lite,13,CUT LENGTHS IN FRAME REGISTER; WRITTEN QUOTE/DFM REQUIRED,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B02,8-hole gusseted inside corner brackets,80/20,40-4338,16,CANDIDATE QUANTITY; JOINT CALCULATION/FASTENERS REQUIRED,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B03,40-series leveling-caster base plates,80/20,40-2407,4,CANDIDATE ONLY; FOOTING/ANCHORAGE DESIGN OPEN,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B04,leveling casters,80/20,2715,4,CANDIDATE ONLY; CATALOG LOAD IS NOT CELL/FALL RATING,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B05,panel hinges for 6 mm panels,80/20,40-2080,6,CANDIDATE ONLY; DOOR DESIGN/RETENTION OPEN,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B06,6 mm clear polycarbonate panels,SABIC,LEXAN 9030 OR 9034 - SELECTION REQUIRED,6,DIMENSIONS IN GUARD REGISTER; IMPACT CONTAINMENT UNVALIDATED,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B07,panel retainers and door latches,SELECTION REQUIRED,SELECTION REQUIRED,1,COMPLETE SET; EXACT HARDWARE/RETENTION OPEN,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B08,robot platform and pelvis cradle parts,CUSTOM,SELECTION REQUIRED,8,MATERIAL/WELD OR FASTENER DESIGN/CAPACITY/PROOF OPEN,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B09,secondary tether assemblies,SELECTION REQUIRED,SELECTION REQUIRED,2,POSITION ONLY; ZERO FALL-ARREST CREDIT,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-B10,remote E-stop pedestal/device,SELECTION REQUIRED,SELECTION REQUIRED,1,LOCATION ENVELOPE ONLY; SAFETY CIRCUIT SELECTION/VALIDATION OPEN,NO,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
