support_id,role,center_x_mm,center_y_mm,center_z_mm,size_x_mm,size_y_mm,size_z_mm,interface_basis,rated_load_n,proof_load_n,walking_credit,state,warning,tether_id,top_anchor_xyz_mm,robot_anchor_xyz_mm,candidate_diameter_mm,fall_arrest_credit
SP-PLATFORM,ROBOT FOOT PLATFORM,0,0,81,700,700,18,BOTH FEET FULLY SUPPORTED; NO WALKING,SELECTION REQUIRED,NOT EXECUTED,NONE,DIMENSIONED CANDIDATE; STRUCTURAL REVIEW/PROOF OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",,,,,
SP-POST-L,LEFT CRADLE POST,-95,185,290,60,60,400,CUSTOM STRUCTURE; CAPACITY OPEN,SELECTION REQUIRED,NOT EXECUTED,NONE,DIMENSIONED CANDIDATE; STRUCTURAL REVIEW/PROOF OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",,,,,
SP-POST-R,RIGHT CRADLE POST,95,185,290,60,60,400,CUSTOM STRUCTURE; CAPACITY OPEN,SELECTION REQUIRED,NOT EXECUTED,NONE,DIMENSIONED CANDIDATE; STRUCTURAL REVIEW/PROOF OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",,,,,
SP-BEAM-L,LEFT CRADLE ARM,-70,112,497,50,190,28,TERMINATES AT P01 RESTRAINT RESERVATION,SELECTION REQUIRED,NOT EXECUTED,NONE,DIMENSIONED CANDIDATE; STRUCTURAL REVIEW/PROOF OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",,,,,
SP-BEAM-R,RIGHT CRADLE ARM,70,112,497,50,190,28,TERMINATES AT P01 RESTRAINT RESERVATION,SELECTION REQUIRED,NOT EXECUTED,NONE,DIMENSIONED CANDIDATE; STRUCTURAL REVIEW/PROOF OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",,,,,
SP-PAD-L,LEFT PELVIS PAD,-43,32,506,34,26,40,COMPLIANT PAD MATERIAL SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NONE,DIMENSIONED CANDIDATE; STRUCTURAL REVIEW/PROOF OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",,,,,
SP-PAD-R,RIGHT PELVIS PAD,43,32,506,34,26,40,COMPLIANT PAD MATERIAL SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NONE,DIMENSIONED CANDIDATE; STRUCTURAL REVIEW/PROOF OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",,,,,
SP-REAR-BRACE,POST CROSS-BRACE,0,185,450,250,36,40,CUSTOM STRUCTURE; CAPACITY OPEN,SELECTION REQUIRED,NOT EXECUTED,NONE,DIMENSIONED CANDIDATE; STRUCTURAL REVIEW/PROOF OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",,,,,
TR-01,SECONDARY POSITION/RETENTION CANDIDATE ONLY,,,,,,,,SELECTION REQUIRED,NOT EXECUTED,NONE,VISUAL ROUTE ONLY; HARDWARE/ANCHORS/CAPACITY OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",TR-01,"[-210, 0, 1335]","[-45, 42, 535]",8,NONE
TR-02,SECONDARY POSITION/RETENTION CANDIDATE ONLY,,,,,,,,SELECTION REQUIRED,NOT EXECUTED,NONE,VISUAL ROUTE ONLY; HARDWARE/ANCHORS/CAPACITY OPEN,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION",TR-02,"[210, 0, 1335]","[45, 42, 535]",8,NONE
