check_id,inspection,acceptance,result,evidence,responsible_role,warning
CELL-T01,frame identity/dimensions,every member and joint matches the frozen as-built register,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T02,base anchorage and leveling,"cell cannot roll, rack, lift or tip under reviewed static/proof cases",NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T03,guard panel retention,all panels/doors/retainers pass the approved inspection and proof procedure,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T04,door state,doors latch closed; any selected interlock is separately validated,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T05,platform support,both complete soles contact the level platform with no rocking,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T06,pelvis cradle fit,"pads engage the P01 reservation without harness, cover or mechanism interference",NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T07,restraint proof,reviewed cradle and anchors pass defined proof load with recorded deflection,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T08,secondary tether fit,tethers are slack/position-only and cannot create hidden primary restraint credit,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T09,whole-body clearance,robot and support remain inside guards in the approved static envelope,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T10,exclusion zone,"floor boundary, access control and observer positions are physically established",NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T11,E-stop access,operator can reach remote E-stop from the assigned station without entering zone,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T12,instrumentation,all selected instruments have valid calibration and frozen limits,NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T13,fire response,"site-specific equipment, evacuation and trained roles are approved",NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T14,dry rehearsal,"test lead, observer and stop operator complete an unpowered abort rehearsal",NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CELL-T15,configuration signoff,"G02, G10, G11 and all other applicable FER gates close on one frozen configuration",NOT EXECUTED,REQUIRED,QUALIFIED ROLE SELECTION REQUIRED,"PRELIMINARY - UNBUILT STATIC FIRST-ENERGIZATION CELL CANDIDATE - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
