record_id,role,identifier,source_path,configuration_state,release_boundary,warning
CFG-01,system electrical schematic,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,electrical/kicad/project-button-v3-p1.15-carrier-candidate/project-button-v3-p1.15-carrier-candidate.kicad_pro,CURRENT CANDIDATE,"native ERC 0/0; physical pins, ratings and application evidence remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-02,actuator star board,DXL-STAR-P0.2-CARRIER-CANDIDATE,electrical/kicad/hr-v0-dxl-star-p0.2-carrier-candidate/hr-v0-dxl-star-p0.2-carrier-candidate.kicad_pro,CURRENT CANDIDATE,native ERC/DRC 0/0 and source-bound P0.2 CAM review exist; supplier/process/physical release remains absent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-03,branch current-limiter carrier,HR-V0-DXL-PROT-CARRIER-P0.3,electrical/kicad/hr-v0-dxl-protection-carrier-p0.3/hr-v0-dxl-protection-carrier-p0.3.kicad_pro,CURRENT CANDIDATE,"native ERC/DRC 0/0; provider, process, FAI and physical evidence absent","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-04,carrier harness,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.1,release/hr-v0/dxl-protection-carrier-harness-p0.1/package-status.json,CURRENT CANDIDATE,source/star terminations and exact cut lengths remain selection required,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-05,carrier integration,HR-V0-DXL-CARRIER-INTEGRATION-P0.1,release/hr-v0/dxl-carrier-integration-p0.1/package-status.json,CURRENT CANDIDATE,route screens are analytical and require R162 placement reconciliation,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-06,carrier mounting interface,HR-V0-DXL-CARRIER-MOUNT-IF-P0.1,release/hr-v0/dxl-carrier-mount-p0.1/package-status.json,CURRENT CANDIDATE,center candidates only; do not drill,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-07,system BOM,HR-V0-BOM-P0.1,bom/bom.csv,CURRENT CLOSURE REGISTER,91 groups; not a procurement release,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-08,release metadata,HR-V0-RC-P0.1,release/hr-v0/release-candidate.json,CURRENT CANDIDATE,exact accepted commit and qualified signatures absent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-09,actuator star manufacturing review,HR-V0-DXL-STAR-MFG-P0.2,release/hr-v0/dxl-star-manufacturing-p0.2/package-status.json,CURRENT REVIEW EVIDENCE,quarantined internal CAM only; supplier/process/physical release remains absent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-10,P1.15 watchdog/E2 parity,HR-V0-E2-P115-PARITY-P0.1,release/hr-v0/e2-p115-parity-p0.1/package-status.json,CURRENT DIGITAL PARITY EVIDENCE,69 unchanged refs and 263 terminals at exact parity; independent acceptance and all physical evidence remain absent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CFG-11,control-only hardware slice,HR-V0-E2-HW-P0.4,release/hr-v0/e2-hardware-p0.4/e2-hardware-summary.json,CURRENT FAIL-CLOSED CANDIDATE,P1.15-bound; actuator source/branches absent or unwired; run not authorized,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
