axis,stage,reference_terminal,net,next_reference_terminal,state,warning
J1,1_PROTECTION_OUTPUT,F1.2,J1_FUSED_PRELIMIT,LIM1.JIN1:1,CONNECTED IN V3-P1.15 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J1,2_LIMITER_INPUT,LIM1.JIN1:1,J1_FUSED_PRELIMIT,LIM1.JOUT1:1,P0.3 CARRIER CANDIDATE; PHYSICAL ARTICLE ABSENT,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J1,3_LIMITER_OUTPUT,LIM1.JOUT1:1,J1_LIMITED_VDD,INJ1.PWR1:1,CONNECTED IN V3-P1.15 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J1,4_STAR_INPUT,DXL-STAR JP1.1,J1_LIMITED_VDD,DXL-STAR JA1.2,ROUTED IN DXL-STAR-P0.2 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J1,5_ACTUATOR_PORT,J1.2,J1_LIMITED_VDD,ACTUATOR VDD,CONNECTED IN V3-P1.15 CANDIDATE; HARNESS/PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J2,1_PROTECTION_OUTPUT,F2.2,J2_FUSED_PRELIMIT,LIM2.JIN1:1,CONNECTED IN V3-P1.15 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J2,2_LIMITER_INPUT,LIM2.JIN1:1,J2_FUSED_PRELIMIT,LIM2.JOUT1:1,P0.3 CARRIER CANDIDATE; PHYSICAL ARTICLE ABSENT,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J2,3_LIMITER_OUTPUT,LIM2.JOUT1:1,J2_LIMITED_VDD,INJ1.PWR2:1,CONNECTED IN V3-P1.15 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J2,4_STAR_INPUT,DXL-STAR JP2.1,J2_LIMITED_VDD,DXL-STAR JA2.2,ROUTED IN DXL-STAR-P0.2 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J2,5_ACTUATOR_PORT,J2.2,J2_LIMITED_VDD,ACTUATOR VDD,CONNECTED IN V3-P1.15 CANDIDATE; HARNESS/PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J3,1_PROTECTION_OUTPUT,F3.2,J3_FUSED_PRELIMIT,LIM3.JIN1:1,CONNECTED IN V3-P1.15 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J3,2_LIMITER_INPUT,LIM3.JIN1:1,J3_FUSED_PRELIMIT,LIM3.JOUT1:1,P0.3 CARRIER CANDIDATE; PHYSICAL ARTICLE ABSENT,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J3,3_LIMITER_OUTPUT,LIM3.JOUT1:1,J3_LIMITED_VDD,INJ1.PWR3:1,CONNECTED IN V3-P1.15 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J3,4_STAR_INPUT,DXL-STAR JP3.1,J3_LIMITED_VDD,DXL-STAR JA3.2,ROUTED IN DXL-STAR-P0.2 CANDIDATE,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
J3,5_ACTUATOR_PORT,J3.2,J3_LIMITED_VDD,ACTUATOR VDD,CONNECTED IN V3-P1.15 CANDIDATE; HARNESS/PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
