acceptance_id,subject,required_evidence,execution_state,result,evidence_uri,approver,approval_date,warning
CIA-001,Electrical V3-P1.15 independent net review,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-002,DXL-STAR-P0.2 independent schematic review,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-003,DXL-STAR P0.1/P0.2 copper-geometry parity,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-004,P0.3 carrier received dimensions,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-005,backplate received dimensions,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-006,carrier placement/no-overlap,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-007,connector and harness sweep,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-008,depth and cover closure,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-009,mounting hardware and hole process,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-010,protective bonding/grounding,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-011,HAR-CIN exact endpoints and lengths,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-012,HAR-COUT exact endpoints and lengths,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-013,crimp process qualification,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-014,100 percent continuity/polarity/isolation,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-015,strain relief and retention,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-016,source/fuse/conductor/connector coordination,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-017,steady-state thermal,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIA-018,inrush and forward-current behavior,"executed configuration-specific record with article IDs, raw data, instruments/calibration and signed disposition",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
